序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动天数,剧烈运动单日分钟数,每周剧烈MET,适度运动天数,适度运动单日分钟数,每周适度MET,步行天数,步行单日分钟数,每周步行MET,总MET,总天数,"运动强度
1轻2中3强",工作日久坐分钟数,IPAQ_8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
16,19,2020级,理,2,2,3,3,2,1.83,1.8,1.82,1.78,1.8,1.8,2.02,0,0,0,7,30,840,7,30,693,1533.0,14,2,480,步行,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
17,19,2020,理,2,1,3,3,3,2.33,2.2,2.09,2.0,2.0,2.2,2.39,0,0,0,7,30,840,7,40,924,1764.0,14,2,480,爬楼,3,2,3,2,1,4,3,2,2,3,1,1,2,2,3,2,3,2,3,1,2,2,1,3,3,3,2,3,3,3,3,2,3,2,3,3,2,1,2,3,4,3,1,3,3,3,3,3,2,3,2,2,1,3,2,1,2,3,2,3,3,2
19,19,2020,工,1,2,3,3,1,2.0,1.9,2.36,2.11,1.9,2.2,2.29,4,40,1280,7,20,560,7,10,231,2071.0,18,2,240,跑步，篮球,4,2,2,1,1,2,2,2,2,1,2,3,2,3,3,3,3,2,2,1,2,3,2,3,2,3,2,2,3,1,3,2,3,1,2,2,2,1,3,3,4,2,3,2,2,2,4,3,2,2,2,2,1,3,2,3,3,3,2,3,3,1
20,18,2020,管理,2,2,3,3,2,2.75,2.5,2.18,2.22,2.4,1.9,2.61,2,30,480,6,30,720,7,30,693,1893.0,15,2,480,篮球,5,3,3,3,3,3,3,2,2,3,1,2,2,2,3,2,3,2,2,1,3,3,3,3,3,4,2,3,3,3,3,3,5,5,4,3,3,3,3,1,3,3,3,3,1,2,3,3,3,3,3,2,1,1,1,1,2,2,2,2,2,3
21,19,2020,文,2,2,3,3,3,2.33,2.4,2.55,2.22,2.7,2.4,2.74,0,0,0,0,0,0,5,10,165,165.0,5,1,480,跑步,5,2,3,2,3,3,2,3,3,3,2,3,2,2,2,3,3,2,3,2,3,3,3,3,3,2,2,3,4,3,2,2,3,4,3,3,3,2,2,3,2,2,3,2,2,3,3,3,3,2,2,2,3,3,3,4,3,4,3,2,3,4
22,18,大一,工,1,2,3,3,1,0.92,0.9,0.91,0.89,0.9,0.9,1.0,1,30,240,7,30,840,7,90,2079,3159.0,15,3,240,打篮球 步道乐跑,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,19,20级,工,1,2,2,2,1,0.92,1.4,1.0,0.89,1.2,0.9,1.23,2,40,640,7,25,700,7,60,1386,2726.0,16,2,480,篮球，长跑,4,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,3,1,1,1,1,1,1
24,18,大一,工,1,2,3,2,2,2.58,2.9,2.36,2.44,2.6,2.7,2.92,2,30,480,7,30,840,0,0,0,1320.0,9,2,480,羽毛球,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,3,3,5,3,3,3,5,5,3,3,1,1,3,3,3,3,1,3,1,1,3,3,4
26,18,大一,工,2,2,2,2,3,1.75,1.8,2.09,2.11,2.3,1.8,2.19,0,0,0,0,0,0,4,30,396,396.0,4,1,480,呼吸,2,1,2,2,2,2,2,2,3,2,2,2,3,1,2,3,3,2,3,2,5,2,2,2,2,3,2,2,2,2,2,2,3,4,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
27,18,大一“,工,2,2,2,4,1,0.92,0.9,0.91,0.89,0.9,0.9,1.03,3,20,480,3,30,360,7,120,2772,3612.0,13,3,240,锻炼体魄,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
28,19,2021,工,1,2,2,3,1,0.92,1.3,1.09,1.11,1.7,1.1,1.37,1,30,240,7,60,1680,7,60,1386,3306.0,15,3,480,跑步打球,5,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1
30,18,大一,工,1,1,4,2,2,1.83,1.8,1.82,1.78,1.8,1.8,2.02,0,0,0,1,80,320,7,80,1848,2168.0,8,2,480,跑步,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
31,18,大一,工,1,2,3,3,3,2.83,2.5,3.27,3.0,3.1,2.8,3.23,0,0,0,7,30,840,7,30,693,1533.0,14,2,480,散步,4,3,2,2,2,2,2,2,3,4,4,4,4,4,3,4,4,4,4,4,5,3,4,2,2,4,3,4,4,4,4,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
32,18,大一,工,1,2,3,3,2,2.75,2.7,2.55,2.67,3.3,2.7,3.1,0,0,0,0,0,0,7,30,693,693.0,7,2,300,跑步,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3
33,18,2021,工,1,1,3,2,2,1.75,1.6,1.18,1.78,1.6,1.0,1.66,3,20,480,4,30,480,7,30,693,1653.0,14,2,500,羽毛球,3,2,2,2,2,1,2,2,1,1,1,1,2,1,2,3,2,2,4,2,3,1,1,2,1,4,2,3,3,3,1,1,1,3,3,1,1,1,2,1,1,1,2,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1
35,18,2021,法,2,2,2,4,3,1.92,2.0,2.18,1.89,2.0,1.9,2.21,0,0,0,0,0,0,7,30,693,693.0,7,2,480,步行,4,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,3,2,2,2
36,18,大一,工,1,2,3,3,2,1.75,2.1,1.73,1.67,2.2,1.9,2.11,2,40,640,2,30,240,7,30,693,1573.0,11,2,420,篮球 骑车 跑步,3,2,2,2,3,2,2,2,4,2,1,2,1,1,3,2,2,3,1,1,5,5,2,2,2,1,3,2,2,2,2,2,2,2,2,2,2,2,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2
37,18,大一,工,1,1,3,3,1,2.08,2.1,2.0,2.0,2.1,1.8,2.24,4,20,640,5,10,200,7,20,462,1302.0,16,2,200,跑步,4,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,4,3,2,3,3,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2
39,18,一年级,法,2,2,3,3,1,1.25,1.5,1.82,1.67,1.8,1.6,1.77,7,180,10080,7,120,3360,7,60,1386,14826.0,21,3,180,篮球,2,1,1,2,2,1,1,3,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2
40,19,大一,工,1,2,3,3,2,2.33,2.1,2.09,2.33,2.1,2.0,2.42,3,30,720,2,30,240,7,20,462,1422.0,12,2,120,走路,4,4,3,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,4,1,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
41,18,21,工,1,2,3,3,3,1.67,2.2,2.27,1.89,2.1,2.1,2.26,3,30,720,0,0,0,7,30,693,1413.0,10,2,480,走路跑步,5,2,2,1,3,2,1,1,1,2,1,3,3,2,2,4,3,5,2,1,1,3,1,1,3,3,5,3,3,1,2,1,2,2,3,2,3,1,2,2,4,3,1,3,2,2,2,2,3,3,1,1,1,4,1,2,2,3,2,2,3,3
42,19,2021级,工,2,2,3,2,2,2.58,2.1,2.27,2.11,2.1,2.8,2.6,0,0,0,4,10,160,7,20,462,622.0,11,1,480,快跑,4,2,3,1,2,2,3,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,2,4,2,1,3,3,3,2,3,3,3,2,3,2,3,3,4,3,2,4,2,3,3,3,3,4,2,2,2,3,1,1,2,3,2,4,4,2
44,18,大一,工,2,2,3,3,2,2.58,1.7,1.91,1.89,2.2,1.8,2.24,3,20,480,2,20,160,7,30,693,1333.0,12,2,265,跑步,2,2,2,1,2,3,3,2,2,2,1,2,3,3,2,3,2,2,2,2,4,2,3,3,2,3,2,2,2,3,3,1,2,4,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2,2,1,1,2,2,2,2,2,2
45,18,2021,工,1,1,4,3,1,2.75,1.7,1.45,2.11,2.9,1.6,2.32,0,0,0,0,0,0,7,40,924,924.0,7,2,480,跑步,4,3,4,1,2,4,4,2,2,1,1,1,1,1,3,1,3,3,3,2,4,2,2,2,1,4,3,1,1,1,4,1,1,4,4,2,1,2,4,2,4,2,4,4,2,1,4,4,1,4,1,4,1,3,1,3,1,1,1,1,1,4
46,19,大一,理,2,1,4,3,1,1.67,1.7,2.55,2.44,2.6,1.7,2.29,2,90,1440,5,25,500,5,40,660,2600.0,12,2,480,乒乓球，羽毛球,4,2,2,2,2,2,2,2,1,1,1,3,2,2,1,4,3,1,3,2,4,4,2,1,1,4,1,3,3,1,5,2,2,4,1,2,2,3,2,1,2,2,3,3,4,1,3,4,3,1,3,2,1,1,3,4,2,2,2,1,1,4
47,18,2021级,工,1,2,3,3,2,2.67,2.3,1.55,2.33,2.7,2.6,2.6,4,30,960,5,20,400,7,20,462,1822.0,16,2,360,跑步,3,3,3,2,3,3,3,2,3,2,1,1,2,2,2,2,3,2,3,2,4,2,2,3,3,3,2,3,3,3,3,2,1,4,4,3,2,2,2,2,4,3,3,3,1,3,4,3,3,3,2,3,4,2,2,2,3,1,2,3,3,4
48,19,2021级,理,2,2,3,2,2,1.42,1.5,1.45,2.11,1.7,1.4,1.81,3,30,720,7,20,560,7,60,1386,2666.0,17,2,600,跑步,4,1,2,2,1,1,1,2,2,3,1,1,1,2,2,3,2,2,2,1,2,1,1,3,2,4,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,4,3,1,1,1,2,1,1,2,4,2,1,2,2,3,2
49,18,大一,工,1,1,3,2,2,2.5,2.3,2.45,2.89,2.5,2.6,2.76,4,40,1280,7,30,840,4,30,396,2516.0,15,2,480,跑步,2,2,3,2,2,3,2,2,1,3,1,1,3,2,2,3,3,3,4,1,4,3,3,3,3,4,3,3,3,3,4,2,3,4,4,2,3,3,2,3,3,3,1,3,2,3,4,3,4,4,3,2,3,2,3,2,2,4,3,3,4,3
50,18,2021,工,1,2,3,2,1,1.25,1.3,1.27,1.78,1.6,1.3,1.61,5,30,1200,5,30,600,7,60,1386,3186.0,17,3,200,跑步 打篮球,3,2,3,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2
51,19,2021级大一,法,2,2,2,2,3,2.0,2.0,1.82,2.11,2.3,1.8,2.23,3,16,384,7,10,280,7,30,693,1357.0,17,2,270,跑步,5,2,2,1,2,2,2,2,1,3,1,1,1,1,3,3,3,3,3,2,3,2,1,2,2,2,2,3,3,3,3,1,2,3,3,2,2,3,3,2,3,2,2,3,3,3,3,3,2,3,2,3,1,2,2,2,1,1,1,2,2,2
53,18,2021,工,1,2,3,2,3,1.83,2.1,2.0,2.0,2.9,2.0,2.35,0,0,0,7,30,840,7,40,924,1764.0,14,2,480,跑步,2,2,1,2,2,1,2,4,3,3,2,2,1,1,2,2,2,3,2,2,5,2,1,1,2,2,3,3,2,2,4,2,2,5,3,2,2,2,4,2,2,2,5,2,3,3,3,3,2,2,2,4,2,3,2,1,2,1,2,3,3,2
54,19,大一,工,1,1,3,3,1,3.42,3.1,2.36,2.78,3.2,3.1,3.31,4,30,960,7,40,1120,5,30,495,2575.0,16,2,480,跑步,4,3,4,3,3,4,4,4,4,1,2,2,2,3,4,2,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,3,5,4,4,2,1,2,3,3,4,4,4,3,4,4,3,4,4,2,3,2,4,2,4,4,3,2,3,4,3
55,18,2020,工,1,1,4,2,1,2.0,2.0,1.91,2.67,1.9,1.9,2.37,5,30,1200,2,20,160,7,60,1386,2746.0,14,2,480,跳绳跑步,3,3,3,3,3,2,2,3,3,3,1,1,5,1,5,4,5,5,2,3,1,3,3,2,2,4,1,3,1,1,3,1,1,1,3,1,3,1,5,1,5,1,3,3,1,1,5,3,1,1,1,1,1,1,3,5,3,1,1,3,1,1
56,18,大一,工,2,1,4,3,2,2.25,2.5,2.0,2.22,1.9,1.8,2.35,4,15,480,7,50,1400,7,60,1386,3266.0,18,3,480,快走，跑步,3,3,3,3,3,3,3,2,3,1,1,1,3,2,2,3,3,4,3,1,2,1,1,1,2,3,4,2,3,1,2,3,2,3,4,2,1,2,1,2,2,1,1,4,3,2,2,3,2,4,4,1,1,4,1,2,1,4,2,3,4,3
57,18,2021,理,1,1,4,3,1,1.92,1.9,2.18,1.78,2.0,1.9,2.16,2,40,640,7,30,840,7,30,693,2173.0,16,2,180,跑步,3,2,2,2,3,2,3,3,2,1,1,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2
