序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动天数,剧烈运动单日分钟数,每周剧烈MET,适度运动天数,适度运动单日分钟数,每周适度MET,步行天数,步行单日分钟数,每周步行MET,总MET,总天数,"运动强度
1轻2中3强",工作日久坐分钟数,IPAQ_8,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
235,18.0,大一,管理,2,1,4,4,2,2.33,2.2,2.27,2.78,2.8,2.4,2.69,1,40,320.0,2,30,240.0,7,30,693.0,1253.0,10,2,480.0,跑步,4,3,1,1,1,3,3,3,5,1,1,1,1,3,1,3,4,1,5,5,2,3,3,2,2,5,2,4,4,2,5,1,1,4,1,3,2,3,4,1,4,3,5,2,5,5,5,5,2,1,1,1,1,3,1,2,4,1,2,3,2,5
236,20.0,大一,工,1,1,4,3,3,2.08,1.8,1.82,1.78,1.8,1.8,2.05,2,80,1280.0,2,30,240.0,0,0,0.0,1520.0,4,1,480.0,跑步,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
237,23.0,2019,工,1,1,4,4,3,3.33,2.8,2.73,2.56,3.0,3.4,3.31,0,0,0.0,2,30,240.0,2,30,198.0,438.0,4,1,720.0,俯卧撑，空击，跳绳,4,4,4,2,2,3,3,3,2,4,2,4,3,2,4,4,3,2,4,3,4,4,4,4,4,4,3,3,4,4,4,2,2,4,4,4,4,2,4,4,4,2,4,4,2,3,4,4,4,4,2,3,4,4,2,4,3,2,3,3,4,2
238,18.0,大一,理,1,2,3,3,3,2.58,3.0,3.09,2.33,2.2,2.6,2.98,1,44,352.0,0,0,0.0,0,0,0.0,352.0,1,1,480.0,步行,4,3,3,3,3,4,3,3,3,4,2,3,4,2,4,4,3,2,3,4,3,4,2,3,3,3,3,2,4,2,4,3,4,4,4,2,4,2,2,2,2,2,2,3,4,4,4,3,2,3,2,2,2,2,2,3,3,3,3,4,4,2
239,19.0,2020,工,2,2,3,3,2,2.83,1.8,2.45,2.44,2.0,2.7,2.66,0,0,0.0,0,0,0.0,7,30,693.0,693.0,7,2,480.0,步道乐跑，赶早八,4,4,1,1,1,3,3,3,3,3,1,1,3,3,3,3,3,1,3,1,1,3,3,3,2,3,1,1,2,3,2,2,3,2,2,1,3,3,3,1,5,1,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,3
240,18.0,大一,理,1,2,2,2,3,2.33,1.9,1.82,2.44,2.1,1.5,2.27,3,15,360.0,4,60,960.0,7,20,462.0,1782.0,14,3,240.0,打wota艺,5,3,3,1,1,2,4,3,3,1,2,1,1,1,3,3,1,1,3,1,3,3,1,1,1,5,1,1,3,3,3,3,2,5,3,2,1,1,3,2,1,1,3,5,3,3,5,3,1,2,1,3,1,1,3,1,3,1,3,1,3,3
241,19.0,2021级,工,1,2,3,3,2,1.58,1.7,1.55,1.11,1.4,1.0,1.55,3,30,720.0,7,60,1680.0,5,30,495.0,2895.0,15,3,100.0,打篮球,3,2,2,2,1,2,1,1,1,1,1,1,1,2,2,1,2,1,1,1,3,1,1,1,2,2,1,2,3,2,2,3,1,3,3,1,1,2,1,2,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,4,3,1,1,1
242,19.0,2021级,理,1,2,3,3,2,1.17,1.9,1.45,1.56,2.9,0.9,1.87,4,90,2880.0,7,30,840.0,7,40,924.0,4644.0,18,3,480.0,羽毛球晨跑,3,1,1,1,2,1,1,3,3,4,1,1,1,1,4,1,2,4,2,1,5,1,1,1,1,2,3,1,1,1,2,1,5,4,3,1,1,1,4,1,1,3,2,1,1,3,1,3,1,1,2,4,1,3,1,3,1,1,1,1,1,2
243,18.0,2021,工,2,1,3,3,1,2.0,1.9,1.91,2.11,1.9,1.7,2.15,5,30,1200.0,7,30,840.0,7,40,924.0,2964.0,19,3,720.0,跑步，飞盘,3,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,1,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2
244,18.0,大一,工,1,1,3,3,2,3.0,2.7,2.73,2.89,2.4,2.8,3.08,0,0,0.0,5,30,600.0,0,0,0.0,600.0,5,2,180.0,跑步,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,3,3,5,3,4,3,2,4,3,3,3,2,2,4,3,3,3,3,3,4,4,3,3,3,3,4,2,3,3,3,2,2,3,2,3,3,4,3,4,3,3
245,20.0,2020,工,1,2,3,2,1,2.17,2.0,1.82,2.44,2.2,1.8,2.29,5,30,1200.0,5,30,600.0,7,30,693.0,2493.0,17,3,480.0,篮球，跑步,3,2,2,2,2,1,3,2,2,2,3,3,3,2,3,3,2,2,3,4,4,3,2,2,2,4,2,3,2,2,2,2,2,5,3,2,2,2,2,2,2,1,3,3,1,3,4,2,1,3,3,2,2,1,2,1,2,1,1,1,1,3
246,17.0,21级,法,2,2,3,3,2,1.83,1.6,1.55,1.44,2.0,1.8,1.9,3,20,480.0,5,60,1200.0,7,180,3123.897169601935,4803.897169601934,15,3,480.0,跑步,2,2,3,1,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,1,2,2,1,2,1,3,2,3,2,2,3,2,2,3,3,2,2,1,2,2,3,3,3,3,2,2,2,2,2,2,1,1,1,2,1,2,1,1,1,2,3,2
247,18.0,大一,法,2,2,3,3,3,3.25,2.7,3.18,3.0,3.0,3.0,3.35,2,40,640.0,7,30,840.0,7,30,693.0,2173.0,16,2,480.0,走路,4,3,4,2,3,4,3,2,3,3,4,4,4,4,4,5,4,3,4,3,4,3,3,4,3,4,3,4,4,4,3,3,2,4,4,3,3,3,2,3,4,4,3,4,3,2,4,3,3,3,3,2,3,4,3,2,3,4,3,4,4,4
248,18.0,2021级,法,2,1,4,3,2,1.92,2.0,2.27,2.22,1.9,1.8,2.23,2,12,192.0,7,10,280.0,7,30,693.0,1165.0,16,2,600.0,爬楼，跑步,3,2,3,2,2,2,3,1,1,2,2,3,3,2,3,2,3,2,3,1,3,1,1,1,2,3,2,1,2,1,3,3,2,4,3,3,2,2,2,2,3,1,1,3,2,2,4,2,1,4,2,2,1,1,2,2,2,4,2,3,3,3
249,20.0,2019级,工,1,1,3,3,1,1.67,2.3,1.73,1.78,2.2,2.2,2.21,3,40,960.0,4,60,960.0,7,180,3123.897169601935,5043.897169601934,14,3,240.0,跑步，俯卧撑,3,2,3,2,2,1,2,2,3,2,2,2,2,2,3,2,2,2,1,2,3,2,1,2,2,2,4,3,2,2,2,2,1,2,2,2,2,2,3,3,3,2,2,2,2,2,3,4,2,2,2,3,2,2,2,2,2,2,2,3,3,2
250,19.0,2021级,理,1,1,3,3,1,2.42,2.4,2.0,2.78,2.5,2.3,2.68,4,60,1920.0,7,30,840.0,7,30,693.0,3453.0,18,3,360.0,拳击,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,3
251,19.0,2021,理,2,2,3,3,2,2.33,2.0,2.27,2.22,2.7,2.4,2.55,6,60,2880.0,7,30,840.0,7,30,693.0,4413.0,20,3,480.0,跑步、跳舞、练旗,3,3,3,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,1,3,3,1,2,2,3,3,3,2,2,4,1,2,3,3,3,3,1,3,3,3,3,3,4,2,2,2,4,3,4,3,2,2,4,3,2,2,2,2,3,3,4
253,18.0,大一,法,2,2,2,3,2,1.92,2.7,1.0,2.11,2.2,1.8,2.21,0,0,0.0,5,30,600.0,7,60,1386.0,1986.0,12,2,480.0,散步,4,1,4,1,1,1,1,2,4,1,1,1,2,1,4,1,1,1,4,1,1,4,2,4,4,4,4,3,5,4,1,1,1,1,1,2,1,1,2,3,1,1,3,4,1,3,2,4,4,1,1,3,1,5,2,2,4,2,1,1,1,4
254,18.0,2021,工,2,1,3,2,1,1.58,1.9,1.82,2.44,1.3,1.9,2.06,1,25,200.0,5,15,300.0,7,60,1386.0,1886.0,13,2,480.0,跑步,4,1,3,2,2,1,3,4,2,2,2,2,1,1,1,3,2,4,4,2,2,2,1,2,2,3,3,2,1,1,3,2,1,2,3,2,2,2,1,2,2,2,1,2,2,4,4,2,1,3,2,1,2,1,2,1,1,2,1,3,3,1
256,18.0,2021,理,2,2,3,3,3,1.42,1.8,2.18,1.67,1.5,1.6,1.92,0,0,0.0,5,30,600.0,7,30,693.0,1293.0,12,2,480.0,骑车,3,1,2,2,2,2,2,3,1,2,3,4,3,2,2,1,1,2,2,4,1,1,1,2,2,2,2,1,3,1,3,2,2,3,1,1,1,2,2,1,2,1,2,1,3,1,2,2,1,2,1,2,2,2,2,1,2,4,2,2,2,2
257,18.0,21,法,1,1,4,3,2,2.92,2.6,2.82,2.67,2.8,2.8,3.08,3,20,480.0,1,20,80.0,7,10,231.0,791.0,11,2,300.0,跑步，打球,3,4,4,2,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,4,3,3,5,4,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
258,18.0,大一,工,1,1,3,3,1,2.33,2.3,2.45,2.11,2.0,1.8,2.42,1,20,160.0,3,20,240.0,7,60,1386.0,1786.0,11,2,240.0,慢跑,4,2,2,2,2,3,2,1,2,2,1,4,4,4,3,3,3,2,3,2,2,2,2,2,2,3,2,2,3,2,3,3,3,4,3,2,2,2,2,2,2,2,2,3,3,3,3,3,2,3,2,2,2,2,2,2,2,3,2,2,2,2
259,18.0,2021,工,1,2,3,3,1,2.42,2.3,1.64,2.0,2.2,1.8,2.31,3,60,1440.0,5,60,1200.0,3,30,297.0,2937.0,11,3,300.0,篮球 慢跑,3,4,4,2,2,2,4,2,2,1,1,1,3,2,4,2,2,2,2,1,4,2,1,2,2,4,2,2,2,2,2,2,2,4,2,2,2,1,2,2,2,2,2,4,2,4,4,3,3,4,2,2,2,3,1,2,2,2,2,2,2,1
260,18.0,大一,理,1,2,3,3,1,1.17,1.4,1.82,1.56,1.8,1.3,1.71,3,20,480.0,7,30,840.0,7,40,924.0,2244.0,17,3,400.0,足球，跑步,2,1,2,1,1,2,1,2,2,3,1,2,2,1,2,2,3,1,2,1,2,1,1,1,1,2,2,2,2,1,2,1,2,3,1,1,3,2,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,3,2,2,1,1,3,3,1,2
261,18.0,大一,工,2,1,3,3,2,1.42,1.2,1.09,1.11,1.6,0.9,1.37,0,0,0.0,0,0,0.0,7,60,1386.0,1386.0,7,2,480.0,跑步,3,2,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,1,1,3,3,1,1,1,1,1,1,1,2,2,2,1,3,1,1,1,1,1,1,1,2,1,3,1,1,1,1,1,1
262,18.0,2021,理,1,1,4,3,2,2.42,2.0,2.55,2.78,2.0,2.5,2.65,0,0,0.0,7,30,840.0,7,30,693.0,1533.0,14,2,480.0,跑步,4,3,4,2,2,2,3,2,3,1,2,3,3,2,3,4,4,5,4,1,1,2,1,3,3,3,2,3,2,1,3,1,2,3,4,3,1,3,2,2,5,2,3,4,1,3,4,2,2,3,1,2,1,2,2,1,3,5,3,4,5,4
263,18.0,大一,法,2,2,3,2,2,2.25,1.8,2.0,2.22,2.3,2.1,2.34,2,20,320.0,4,20,320.0,7,60,1386.0,2026.0,13,2,270.0,慢跑,4,2,2,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,3,3,3,2,4,2,2,2,3,4,2,2,3,2,2,2,2,3,3,3,2,3,3,2,2,4,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
265,19.0,2021,工,1,1,3,3,3,2.33,2.1,2.0,2.0,2.0,2.0,2.31,3,20,480.0,4,20,320.0,7,30,693.0,1493.0,14,2,480.0,跑步,4,2,2,2,3,4,2,2,2,2,2,2,2,4,4,2,2,2,2,2,4,4,2,2,2,4,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
267,18.0,2021级,工,1,1,3,3,2,2.33,2.4,2.18,2.22,2.4,2.2,2.53,2,30,480.0,3,60,720.0,7,100,2310.0,3510.0,12,3,600.0,跑步和热身锻炼,4,3,2,2,3,3,2,2,3,3,1,2,1,1,3,1,2,2,3,1,2,3,2,3,3,3,3,3,3,3,3,2,3,3,3,2,3,2,3,3,2,3,3,3,3,2,3,3,4,2,2,2,1,3,2,2,3,3,3,3,3,3
268,19.0,大一,工,1,1,3,3,1,2.08,2.5,2.27,3.56,2.9,2.1,2.66,2,40,640.0,2,30,240.0,7,30,693.0,1573.0,11,2,720.0,跑步,3,1,1,1,4,2,1,1,1,1,1,1,1,2,5,5,2,5,5,1,1,5,1,5,5,5,1,5,1,1,1,1,5,5,5,1,1,5,1,1,1,5,1,3,1,5,5,2,1,3,2,1,1,3,3,3,2,5,3,5,5,5
269,18.0,大一,工,2,1,3,2,2,1.58,1.9,1.36,1.67,2.5,1.3,1.94,0,0,0.0,2,40,320.0,7,60,1386.0,1706.0,9,2,480.0,走路,5,2,2,1,1,1,1,2,2,1,1,1,2,1,2,2,2,3,2,1,1,2,1,2,2,1,3,3,2,2,3,3,2,3,2,2,1,1,3,2,2,3,3,3,1,2,2,3,1,1,2,3,1,3,2,3,2,1,1,1,1,3
270,18.0,一年级,理,1,2,3,3,2,2.5,2.7,2.27,2.0,2.0,2.1,2.61,2,40,640.0,7,30,840.0,7,25,578.0,2058.0,16,2,480.0,跑步,4,2,5,2,2,4,2,4,3,1,1,1,4,3,5,2,3,1,3,2,3,2,2,4,2,4,3,2,3,4,4,2,3,4,2,4,2,2,3,4,2,2,3,2,5,3,4,5,1,2,1,1,1,2,1,1,2,2,2,2,3,2
271,18.0,大一,法,1,2,3,2,1,1.75,2.0,1.64,2.33,2.3,1.8,2.24,3,30,720.0,2,30,240.0,6,30,594.0,1554.0,11,3,480.0,跑步,4,2,4,2,2,2,2,4,2,1,1,1,3,3,3,2,2,2,3,2,4,2,1,2,3,4,1,2,3,1,3,2,1,4,2,2,2,2,4,2,2,2,2,2,2,2,4,2,2,2,2,2,1,2,2,1,2,2,2,2,3,2
272,19.0,大一,理,1,2,3,3,1,2.58,2.7,1.91,2.11,1.8,1.5,2.34,6,30,1440.0,7,10,280.0,7,30,693.0,2413.0,20,3,240.0,跑步，羽毛球,3,3,2,3,3,3,3,1,3,3,1,1,2,2,5,2,3,3,3,3,1,2,2,3,2,2,3,3,3,3,2,3,2,1,3,1,3,1,1,2,1,2,3,3,2,3,3,2,2,3,3,3,2,2,2,2,2,2,3,1,1,3
273,21.0,大三,文,2,2,1,1,3,2.0,1.6,1.64,2.11,2.0,2.2,2.15,0,0,0.0,1,20,80.0,7,20,462.0,542.0,8,2,480.0,跑步,2,3,4,1,2,2,2,2,3,1,1,1,2,3,1,2,2,2,3,2,3,2,1,2,2,3,1,3,3,2,3,2,2,4,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2,2,1,1,1,2,1,2,1,1,4,3,3
274,19.0,大二,工,1,2,3,3,2,2.75,2.4,2.82,2.89,2.9,3.1,3.08,0,0,0.0,0,0,0.0,4,30,396.0,396.0,4,1,300.0,跑步,3,3,2,2,2,2,2,3,3,3,2,2,3,2,3,3,4,3,4,3,4,4,3,4,3,4,3,3,3,3,4,2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,4,3,3,3,3,2,3,3,4,4,4,4,3
275,18.0,大一,工,1,2,3,3,2,1.5,1.8,1.82,2.11,1.9,1.7,2.06,2,40,640.0,1,60,240.0,7,120,2772.0,3652.0,10,3,300.0,长跑,4,1,4,1,2,3,3,1,3,2,1,1,3,2,2,4,2,2,3,1,3,1,1,1,1,4,2,1,2,1,4,2,1,1,1,1,1,1,2,2,4,1,3,1,4,3,4,3,3,1,1,3,1,3,1,4,3,1,1,2,2,1
276,19.0,大一,理,1,1,4,3,1,1.75,1.7,1.82,2.0,2.2,1.7,2.05,5,30,1200.0,5,30,600.0,7,30,693.0,2493.0,17,3,480.0,跑步,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,3,2,3,2,4,2,2,1,2,2,1,1,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3
277,20.0,2020,工,1,2,3,2,2,0.92,0.9,0.91,0.89,1.4,0.9,1.15,3,30,720.0,5,30,600.0,7,30,693.0,2013.0,15,3,480.0,跳绳,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1
278,20.0,2020,工,1,2,2,3,2,1.75,1.8,1.64,1.67,2.1,1.8,1.98,1,15,120.0,7,10,280.0,7,30,693.0,1093.0,15,2,420.0,吃饭睡觉打游戏,5,2,2,1,2,1,2,1,1,1,1,2,2,2,3,2,1,1,2,1,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
279,18.0,大一,理,2,1,3,3,2,2.08,2.0,2.27,2.11,2.2,2.1,2.39,0,0,0.0,5,30,600.0,7,30,693.0,1293.0,12,2,480.0,跑步，骑自行车,3,2,3,2,2,3,2,2,2,3,2,2,3,2,2,3,3,2,3,3,2,3,2,2,2,3,2,2,3,2,2,2,2,4,3,2,3,2,2,2,3,2,2,3,2,3,3,2,2,2,2,2,2,3,2,2,2,3,3,2,2,3
280,19.0,大一,工,1,1,3,3,1,2.5,2.1,2.45,2.67,2.6,2.8,2.82,3,20,480.0,7,20,560.0,7,10,231.0,1271.0,17,2,480.0,跑步,4,4,4,2,2,2,4,2,4,2,1,4,3,2,2,4,2,4,4,2,1,4,2,2,2,4,4,4,4,2,2,2,2,4,2,2,4,2,2,2,4,4,2,4,2,1,4,2,4,4,2,2,2,2,2,3,2,2,4,4,4,4
281,20.0,20,工,1,1,2,4,3,1.92,2.4,1.45,3.11,2.9,1.1,2.4,1,40,320.0,5,0,0.0,7,20,462.0,782.0,13,2,480.0,打游戏,5,1,1,1,2,1,1,5,5,1,1,3,1,1,5,1,1,1,5,3,3,1,1,5,1,5,5,1,1,5,5,1,1,2,1,1,1,5,5,1,1,3,5,1,1,5,5,3,1,1,3,5,1,5,3,1,1,1,1,1,1,4
282,18.0,2021级,工,2,2,2,1,2,1.0,1.0,1.36,1.33,1.6,0.9,1.31,3,20,480.0,7,40,1120.0,7,60,1386.0,2986.0,17,3,550.0,跑步,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,5,1,1,2,1,1,1,1,1,1,1,1,1,3,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,3,1,1,1,2
283,19.0,大一,理,2,1,3,3,1,2.42,1.2,1.73,1.22,1.7,1.7,1.89,0,0,0.0,7,40,1120.0,7,60,1386.0,2506.0,14,2,480.0,跑步,2,3,2,1,1,2,3,2,1,2,2,2,3,4,2,2,2,1,2,2,3,2,3,1,1,2,1,1,2,1,2,1,2,4,4,1,1,1,2,2,2,1,2,3,1,1,2,2,2,3,1,2,1,1,1,1,1,3,2,3,2,2
284,19.0,大二,文,1,2,3,2,1,2.0,1.9,1.27,1.89,1.9,1.6,1.98,3,30,720.0,7,10,280.0,7,60,1386.0,2386.0,17,3,720.0,跑步，打羽毛球，俯卧撑,3,2,2,2,2,2,2,3,2,1,1,1,3,1,1,1,2,2,2,1,1,2,3,2,2,2,3,2,3,2,2,2,2,2,3,1,1,1,1,1,3,2,2,2,2,2,2,2,3,3,2,2,1,3,3,4,3,1,1,2,2,2
285,19.0,2021,工,1,1,4,3,3,2.67,2.6,2.73,2.56,2.6,2.6,2.92,5,30,1200.0,2,20,160.0,7,10,231.0,1591.0,14,3,848.9282103875844,无,4,3,2,2,3,4,3,3,2,3,2,4,4,4,3,3,3,2,3,3,2,2,2,3,2,3,4,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
286,19.0,大一,工,2,2,2,3,2,2.0,1.8,1.64,1.89,2.1,1.8,2.1,0,0,0.0,5,30,600.0,7,20,462.0,1062.0,12,2,300.0,走路跑步,4,2,3,2,2,2,2,2,2,1,1,1,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2
287,19.0,大一,工,1,2,4,3,1,2.08,2.5,1.55,2.67,2.3,1.4,2.29,2,30,480.0,4,30,480.0,7,40,924.0,1884.0,13,2,300.0,慢跑,4,1,1,2,1,3,2,2,3,1,1,1,3,2,5,2,2,4,4,1,2,2,1,4,4,4,3,3,2,4,4,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,3,4,2,2,2,4,2,2,2,4,3,1,1,1,1,2
288,18.0,21,工,1,2,3,3,2,2.33,2.5,2.55,2.22,2.7,2.9,2.76,2,30,480.0,5,10,200.0,0,0,0.0,680.0,7,2,600.0,跑步，羽毛球,4,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,2,3,4,2,3,2,4,4,2,3,3,4,2,3,4,3,2,3,2,3,3,4,3,3,3,3,4,4,3,4,3,2,3,3,3,2,2,2,2,3,3,4,4
289,18.0,大一,管理,2,2,3,3,2,2.42,1.9,1.91,1.89,2.2,1.8,2.24,2,40,640.0,7,30,840.0,2,60,396.0,1876.0,11,2,300.0,散步,4,3,2,2,1,3,2,1,2,2,1,3,2,2,2,2,2,2,2,1,3,2,1,3,2,3,2,2,3,4,3,2,2,4,4,2,2,1,2,2,3,2,2,3,2,2,3,3,3,2,2,2,1,3,2,1,2,2,2,2,2,3
290,18.0,2021级,工,1,2,3,3,2,2.08,2.3,2.0,2.33,2.3,2.2,2.47,2,30,480.0,0,0,0.0,7,30,693.0,1173.0,9,2,360.0,跑步,4,2,2,1,3,2,2,2,3,3,1,1,3,1,3,2,3,3,3,1,1,3,2,2,3,3,3,3,2,4,3,2,2,3,2,2,4,1,2,4,2,2,2,3,1,2,4,4,4,3,2,2,2,3,2,2,3,2,3,2,2,5
292,18.0,大一,工,1,2,3,4,2,1.92,2.1,1.73,2.56,2.0,1.8,2.19,0,0,0.0,0,0,0.0,6,120,2376.0,2376.0,6,2,480.0,跑步,3,2,2,2,2,1,2,1,2,2,1,1,2,1,4,2,2,2,4,2,4,2,2,3,2,4,2,2,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,3,2,2,2,3,2,1,3,2,2,2,2,1
293,17.0,大一,理,2,1,3,3,3,1.67,1.5,1.36,1.67,1.6,1.8,1.87,0,0,0.0,7,30,840.0,7,60,1386.0,2226.0,14,2,480.0,走路,5,2,3,1,2,2,2,2,2,3,1,1,2,2,2,1,3,2,3,1,1,2,1,1,1,2,2,2,2,2,3,1,1,1,2,2,1,1,1,2,2,2,2,2,1,3,3,1,1,2,1,1,1,2,1,3,2,1,2,3,4,3
294,18.0,大一,法,1,2,3,2,2,1.5,2.5,1.91,2.56,2.4,1.3,2.18,3,30,720.0,3,30,360.0,7,30,693.0,1773.0,13,3,480.0,跑步,3,1,1,1,3,1,2,2,2,1,1,3,2,1,3,2,1,3,2,1,1,1,1,3,3,3,3,2,2,2,4,2,5,1,1,3,1,1,4,3,1,1,4,1,2,5,4,3,1,1,5,4,1,4,3,4,2,1,1,1,1,3
295,18.0,2021级,理,2,1,3,3,2,2.83,2.2,2.27,2.0,2.4,2.0,2.58,2,40,640.0,5,30,600.0,0,0,0.0,1240.0,7,2,480.0,跑步,4,3,3,2,2,2,3,2,2,3,2,2,3,2,3,3,3,2,2,2,2,3,2,3,3,3,3,2,2,4,4,2,1,3,4,3,3,2,3,2,2,2,3,5,2,2,3,3,2,3,2,4,2,3,2,3,2,2,3,2,2,2
296,18.0,大一,管理,2,2,3,1,1,1.33,0.9,1.27,1.33,0.9,0.9,1.27,3,30,720.0,5,20,400.0,7,50,1155.0,2275.0,15,3,480.0,跑步,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1
297,18.0,21,理,2,2,3,4,1,2.92,1.7,2.0,2.22,2.5,2.2,2.6,3,10,240.0,7,20,560.0,7,70,1617.0,2417.0,17,3,720.0,羽毛球，跑步,2,3,4,1,1,2,3,2,4,5,1,2,3,2,3,1,4,2,4,1,4,3,2,4,2,4,1,5,2,3,4,1,2,5,5,3,2,1,3,3,3,2,3,5,2,4,5,2,2,3,1,2,1,2,1,1,2,1,3,3,3,1
298,18.0,2021,理,2,1,3,3,1,2.0,2.4,2.36,2.89,2.6,2.3,2.79,1,120,960.0,5,10,200.0,7,60,1386.0,2546.0,13,2,360.0,排球,4,2,4,2,3,3,2,4,4,5,2,2,3,2,4,4,2,3,3,1,3,4,3,3,3,4,4,5,1,2,2,3,4,2,2,3,4,4,4,3,2,1,1,3,1,1,3,3,4,1,2,2,3,4,3,4,4,1,4,1,2,1
299,20.0,大一,理,1,2,4,3,2,2.33,2.2,2.0,2.44,2.4,2.0,2.45,3,20,480.0,3,20,240.0,7,20,462.0,1182.0,13,2,360.0,跑步健身,4,2,2,2,2,4,2,2,2,2,1,2,2,3,4,2,2,2,4,2,4,2,2,2,2,4,3,2,2,5,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,4,3,2,2,2,2,2,3,2,2,2,4,2,3,3,4
300,18.0,大一,理,1,1,2,3,2,2.08,1.8,1.45,1.67,1.8,1.3,1.94,2,40,640.0,2,20,160.0,5,30,495.0,1295.0,9,2,480.0,跑步,4,2,2,2,1,1,3,1,2,4,1,1,2,1,2,3,2,1,3,1,2,1,1,3,2,4,3,1,2,3,1,1,1,4,2,1,1,1,2,1,1,1,3,3,1,4,3,1,1,3,1,3,1,2,1,2,1,4,1,2,4,1
303,18.0,大一,工,1,2,3,4,2,1.33,1.8,1.09,1.33,2.0,1.2,1.66,5,30,1200.0,7,10,280.0,0,0,0.0,1480.0,12,2,480.0,步道乐跑,3,2,2,1,1,1,1,2,3,2,1,1,1,1,3,1,2,1,1,1,3,2,1,2,1,2,4,1,1,2,1,1,2,1,1,2,1,2,3,2,1,1,3,1,1,3,1,3,1,1,1,2,1,4,1,4,3,1,1,1,1,1
304,22.0,2021级,管理,2,1,3,2,2,2.75,2.4,2.45,2.11,2.3,2.6,2.77,0,0,0.0,0,0,0.0,6,30,594.0,594.0,6,2,480.0,跑步,3,3,4,2,2,3,4,3,3,3,2,3,4,2,3,3,2,2,3,2,3,2,2,3,2,3,2,2,4,3,4,3,3,3,4,3,2,2,3,3,4,2,3,3,2,3,3,3,2,3,2,2,2,3,2,3,2,3,3,4,4,2
