序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,IPAQ_1,IPAQ_2,IPAQ_3,IPAQ_4,IPAQ_5,IPAQ_6,IPAQ_7,运动项目,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平
108,18,大一,工程与能源,1,1,3,3,2,3,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,1,1,3,2,2,1,3,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,2,2,2,2,2,2,1,1,2,-2,1,1,1,跑步,2.0,30.0,0.0,0.0,7.0,40.0,180.0,1.83,1.7,1.27,1.67,2.2,1.5,1.69,60.0,0.0,280.0,480.0,0.0,924.0,1404.0,2
112,18,2021级,工程与能源类,1,1,3,3,2,3,3,3,2,2,2,3,2,2,2,1,1,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,1,2,2,2,1,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,跑步,2.0,70.0,2.0,20.0,7.0,60.0,420.0,2.33,2.3,1.82,2.22,2.2,2.0,2.15,140.0,40.0,420.0,1120.0,160.0,1386.0,2666.0,2
116,17,大一,工能,1,1,3,3,3,5,4,3,1,2,3,4,3,2,2,1,1,2,2,3,4,2,2,3,2,3,2,2,3,2,3,3,3,3,2,2,2,1,3,3,2,2,2,2,2,2,3,3,3,2,2,3,2,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,-2,2,-2,1,1,1,跑步,0.0,0.0,0.0,0.0,0.0,,,2.92,2.3,1.82,2.22,2.5,1.6,2.24,0.0,0.0,,0.0,0.0,,,1
118,22,2018,设计,2,2,2,2,3,5,2,3,3,3,2,1,2,2,3,3,3,3,2,4,5,4,4,4,2,3,3,3,3,4,4,3,3,4,3,2,3,5,4,2,3,5,4,2,3,4,3,1,2,2,2,3,3,5,2,3,2,5,2,3,3,3,3,3,3,3,5,2,-2,2,-2,2,-2,1,无,0.0,0.0,0.0,0.0,0.0,,,2.33,3.2,3.45,3.33,2.9,3.4,3.08,0.0,0.0,,0.0,0.0,,,1
119,18,21,工程与能源,1,2,2,3,1,2,1,2,2,2,1,2,2,3,2,1,1,5,1,1,2,3,1,2,1,3,2,1,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,1,1,1,2,2,1,1,1,1,1,1,2,篮球 跑步,3.0,60.0,6.0,30.0,7.0,120.0,,1.75,2.1,1.73,2.22,2.3,2.1,2.02,180.0,180.0,840.0,1440.0,720.0,2772.0,4932.0,3
121,18,21,工能,1,2,3,3,1,3,3,2,2,2,1,3,3,3,3,2,2,2,1,3,3,2,2,1,1,3,2,1,1,1,3,3,1,1,1,3,1,1,4,3,2,1,1,2,1,2,1,3,3,2,3,3,4,1,3,2,3,1,3,2,1,2,4,3,2,2,1,1,1,1,1,1,1,1,羽毛球，跑步,3.0,60.0,2.0,30.0,7.0,70.0,360.0,2.17,2.2,2.36,2.11,2.2,1.6,2.11,180.0,60.0,490.0,1440.0,240.0,1617.0,3297.0,3
122,18,13,工能,1,2,4,3,1,3,2,3,1,2,3,1,2,1,3,1,2,4,2,1,2,1,2,1,2,5,2,3,2,3,2,5,1,2,5,2,1,3,1,2,2,1,3,1,2,3,1,1,2,1,1,1,3,1,1,1,1,1,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,跑步,2.0,40.0,2.0,60.0,5.0,40.0,720.0,2.25,2.2,1.82,1.56,1.8,1.9,1.94,80.0,120.0,200.0,640.0,480.0,660.0,1780.0,2
125,20,大一,工程与能源,1,2,3,3,1,3,1,2,2,2,1,1,4,3,3,3,3,1,1,3,2,2,3,1,1,3,3,1,3,3,3,5,3,1,1,2,3,3,4,3,3,2,3,3,2,1,2,2,2,2,1,2,2,1,1,5,2,3,4,3,5,3,3,3,3,1,5,1,1,1,1,1,1,1,篮球,7.0,90.0,7.0,60.0,7.0,30.0,300.0,1.67,2.4,2.55,2.89,3.5,1.9,2.45,630.0,420.0,210.0,5040.0,1680.0,693.0,7413.0,3
128,17,大一,工程与能源,1,1,3,2,2,4,2,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3,2,2,2,4,2,1,3,2,4,3,2,3,2,2,3,2,4,3,1,2,3,3,2,2,2,3,3,2,4,4,3,3,3,2,3,2,2,2,3,3,3,4,3,4,3,1,1,1,1,1,1,1,跑步,2.0,30.0,5.0,30.0,7.0,60.0,720.0,2.67,2.7,2.64,2.67,2.8,2.3,2.63,60.0,150.0,420.0,480.0,600.0,1386.0,2466.0,2
129,19,20,土木建环,1,2,3,3,1,4,3,2,2,2,2,2,3,3,2,2,2,2,2,4,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,健身跑步,4.0,15.0,4.0,15.0,7.0,30.0,130.0,2.25,2.4,2.0,2.44,2.4,2.0,2.24,60.0,60.0,210.0,480.0,240.0,693.0,1413.0,2
130,18,21,数理,2,2,3,3,2,3,2,2,1,2,2,2,2,2,2,1,2,2,3,3,2,2,1,2,2,3,3,2,3,2,3,2,2,2,2,3,2,1,3,2,2,2,2,1,2,2,1,1,3,1,1,2,2,3,3,1,1,2,1,2,1,1,2,3,2,3,2,1,1,1,1,1,1,1,跑步 骑自行车,3.0,20.0,6.0,15.0,7.0,30.0,100.0,2.33,1.9,1.91,1.78,1.7,2.3,2.0,60.0,90.0,210.0,480.0,360.0,693.0,1533.0,3
132,19,大一,工能,1,2,2,3,2,4,2,2,1,1,4,1,1,2,1,1,1,2,2,3,3,2,2,1,1,4,2,1,3,1,2,2,4,4,2,3,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,-2,1,1,1,跑步,3.0,40.0,0.0,0.0,7.0,60.0,600.0,2.17,1.8,1.55,1.44,2.2,1.3,1.76,120.0,0.0,420.0,960.0,0.0,1386.0,2346.0,3
133,18,大一,工程与能源,1,2,4,4,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-2,2,-2,2,-2,1,无,0.0,0.0,0.0,0.0,0.0,,600.0,2.92,3.1,3.0,3.0,3.0,3.0,3.0,0.0,0.0,,0.0,0.0,,,1
136,21,大三,风景园林,2,2,3,4,1,3,2,2,2,2,3,3,2,3,3,1,1,3,2,4,2,3,1,2,1,3,4,3,3,3,4,2,2,4,3,4,2,1,1,1,2,1,1,3,3,4,2,4,2,2,4,4,3,4,2,2,3,1,2,2,1,2,2,2,2,2,3,2,-2,1,1,1,1,1,慢跑,0.0,0.0,7.0,45.0,3.0,30.0,420.0,2.58,2.8,2.0,2.33,2.2,2.6,2.42,0.0,315.0,90.0,0.0,1260.0,297.0,1557.0,2
138,20,大一,环化与健康,2,2,3,4,3,4,2,2,3,3,5,2,2,2,2,3,2,3,2,2,2,3,3,2,2,3,2,2,3,3,2,2,2,2,2,2,2,2,3,1,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,2,-2,2,-2,2,躺着,0.0,0.0,0.0,0.0,0.0,,,2.33,2.3,2.27,2.11,2.2,2.1,2.23,0.0,0.0,,0.0,0.0,,,1
141,18,21,环境,1,1,3,3,1,3,2,2,2,2,1,2,3,4,1,2,2,4,3,3,3,3,3,3,3,2,2,1,1,1,1,4,4,2,2,1,1,3,1,1,2,1,1,4,2,2,3,2,2,1,3,3,3,3,3,3,3,1,4,3,2,2,1,1,3,3,5,1,1,1,1,1,1,1,跑步，健身房锻炼,6.0,45.0,7.0,60.0,7.0,40.0,420.0,1.92,2.3,1.73,2.56,3.1,2.5,2.32,270.0,420.0,280.0,2160.0,1680.0,924.0,4764.0,3
146,19,大一,工程与能源,1,2,3,3,1,2,2,2,2,2,2,2,2,2,1,3,3,3,2,2,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,1,2,-2,2,-2,2,跑步,6.0,120.0,0.0,0.0,0.0,,,2.17,2.2,2.36,2.56,2.2,2.3,2.29,720.0,0.0,,5760.0,0.0,,,2
148,18,大一,环化与健康,1,1,4,4,2,5,3,2,1,2,4,4,2,2,1,1,1,5,2,3,4,3,4,3,2,2,4,5,1,2,2,2,3,4,4,2,1,1,3,4,1,4,5,2,4,2,3,2,2,2,2,4,2,4,3,2,1,1,1,2,1,1,5,4,4,4,3,1,1,1,1,1,1,1,跑步，引体向上，深蹲,4.0,30.0,7.0,30.0,7.0,30.0,480.0,3.25,2.1,2.55,2.78,2.1,3.1,2.66,120.0,210.0,210.0,960.0,840.0,693.0,2493.0,3
149,18,21,工程与能源,1,2,2,3,2,2,1,3,1,1,2,2,1,2,1,1,1,2,2,3,2,2,1,2,1,1,3,1,2,3,4,1,1,3,2,4,1,2,3,2,3,1,1,2,2,1,1,1,2,1,2,4,4,1,2,1,1,1,1,1,2,2,1,2,1,2,5,1,1,1,1,1,1,1,跑步,4.0,30.0,7.0,60.0,7.0,60.0,300.0,1.75,2.2,1.64,2.0,1.8,1.7,1.84,120.0,420.0,420.0,960.0,1680.0,1386.0,4026.0,3
150,18,大一,工程与能源,1,1,3,2,2,3,3,2,1,2,3,3,1,2,1,1,1,2,3,4,2,2,2,3,1,4,4,2,3,2,3,3,2,4,3,2,2,1,3,4,2,2,1,1,2,1,2,2,4,1,3,4,4,2,3,2,2,1,2,2,1,1,1,2,3,3,2,1,1,1,1,1,1,1,慢跑,3.0,30.0,4.0,20.0,7.0,30.0,250.0,3.0,2.7,1.45,2.22,2.0,2.1,2.26,90.0,80.0,210.0,720.0,320.0,693.0,1733.0,3
155,18,大一,工程与能源,1,1,3,2,2,5,2,3,3,2,3,2,2,2,1,1,1,2,1,2,2,2,2,2,1,2,2,2,2,2,3,3,3,3,2,4,2,2,3,3,2,1,2,2,2,3,2,2,2,1,2,3,2,2,3,2,2,1,2,2,3,2,1,1,3,3,3,1,1,1,1,1,1,1,长跑,3.0,30.0,7.0,10.0,5.0,10.0,480.0,2.42,2.4,1.55,2.22,2.4,2.1,2.18,90.0,70.0,50.0,720.0,280.0,165.0,1165.0,2
156,18,大二,生物医学工程,2,1,3,3,1,4,3,2,3,4,1,2,1,1,2,1,3,4,1,3,2,2,2,2,1,4,2,1,2,2,2,3,2,3,4,2,2,2,2,3,2,2,2,2,2,2,1,2,3,4,2,3,4,1,4,1,1,1,1,1,5,2,4,2,2,3,1,1,1,1,1,1,1,1,折返跑、开合跳、高抬腿、跆拳道训练,2.0,70.0,7.0,150.0,5.0,40.0,480.0,2.5,2.8,2.36,1.78,2.0,2.0,2.26,140.0,1050.0,200.0,1120.0,4200.0,660.0,5980.0,3
158,18,大一,环化与健康,1,1,3,3,1,3,2,2,1,1,1,1,2,3,1,1,3,4,2,4,3,3,1,2,1,2,1,1,2,1,3,1,1,3,3,3,1,2,3,3,2,1,1,2,2,4,1,1,3,2,2,3,2,4,3,1,2,1,2,1,2,2,5,2,4,4,2,1,1,1,1,1,1,2,跑步,4.0,60.0,5.0,10.0,7.0,60.0,,2.08,1.8,2.36,1.89,1.9,2.7,2.13,240.0,50.0,420.0,1920.0,200.0,1386.0,3506.0,3
160,19,大一,工程与能源,1,1,3,3,2,4,3,2,2,2,1,2,2,3,2,2,2,2,2,2,2,3,3,1,2,3,2,3,2,2,1,3,2,3,2,2,2,2,3,2,2,2,2,3,2,3,2,3,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,-2,1,1,1,1,2,跑步、打篮球,0.0,0.0,5.0,40.0,7.0,,,2.33,2.2,2.0,2.0,2.3,2.1,2.16,0.0,200.0,,0.0,800.0,,,1
162,18,大一,工程与能源,1,1,3,3,1,4,2,2,2,3,2,2,1,4,3,4,4,3,4,4,2,2,4,5,2,5,4,2,4,4,5,5,4,5,5,1,1,1,5,2,2,3,2,4,4,1,2,5,1,1,4,5,4,1,2,2,4,2,4,1,4,4,1,5,1,2,2,1,1,1,1,1,1,1,跑步,2.0,30.0,1.0,30.0,7.0,50.0,300.0,2.92,3.4,2.45,3.56,3.5,2.2,2.98,60.0,30.0,350.0,480.0,120.0,1155.0,1755.0,2
163,19,大一,工程与能源,1,1,4,2,1,1,2,2,1,3,2,2,1,2,4,2,2,3,2,2,2,2,2,3,1,2,2,2,2,1,2,2,1,1,1,2,2,2,1,3,2,3,2,2,1,3,3,2,4,4,3,4,2,4,3,2,1,2,3,2,2,2,1,3,3,3,3,1,1,1,1,1,1,1,跑步，打羽毛球,4.0,60.0,3.0,10.0,7.0,60.0,300.0,2.17,1.9,2.45,2.33,1.9,2.4,2.19,240.0,30.0,420.0,1920.0,120.0,1386.0,3426.0,3
164,18,本科生一年级,工程与能源大类,1,1,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,3,1,1,2,1,3,1,4,4,1,3,4,1,3,1,1,3,1,1,2,1,3,1,1,1,3,1,1,4,4,1,3,1,1,1,3,1,5,3,1,1,1,2,1,1,1,1,1,1,1,1,慢跑,7.0,30.0,7.0,30.0,7.0,60.0,600.0,2.08,2.1,1.27,2.33,1.6,1.4,1.79,210.0,210.0,420.0,1680.0,840.0,1386.0,3906.0,3
166,18,2021级,环化与健康,1,2,2,3,1,3,2,2,1,1,4,2,1,3,2,2,2,2,3,3,3,4,2,4,2,4,2,3,3,2,4,2,1,3,2,2,1,2,4,4,2,2,1,2,1,1,1,1,3,1,4,5,3,2,3,2,4,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,篮球跑步,4.0,120.0,7.0,60.0,7.0,30.0,540.0,2.75,2.2,2.18,2.67,2.1,1.5,2.24,480.0,420.0,210.0,3840.0,1680.0,693.0,6213.0,3
171,18,大一,工程与能源类,2,2,2,2,2,2,2,3,2,1,1,2,2,2,1,3,4,1,1,4,3,2,4,2,2,1,3,1,1,3,3,4,1,2,1,3,4,4,1,1,2,1,1,1,1,4,1,1,2,2,4,3,4,3,3,2,2,1,3,2,1,1,1,1,3,3,3,2,-2,1,1,1,1,1,慢跑,0.0,0.0,5.0,20.0,4.0,60.0,420.0,1.5,3.1,2.27,2.22,1.6,2.3,2.15,0.0,100.0,240.0,0.0,400.0,792.0,1192.0,2
178,18,大一,工程与能源类,2,2,3,3,1,3,2,2,1,1,2,2,2,2,1,1,2,3,3,2,2,2,2,1,1,3,3,1,1,1,2,2,2,2,2,2,1,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,2,2,3,2,1,1,1,1,1,1,1,跑步 骑车,4.0,20.0,5.0,30.0,7.0,60.0,300.0,2.08,1.6,1.73,1.89,2.3,2.2,1.97,80.0,150.0,420.0,640.0,600.0,1386.0,2626.0,3
180,18,21级,生化类,1,1,4,3,1,3,3,3,2,2,3,3,2,2,3,2,2,2,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,跑步，引体向上,3.0,30.0,7.0,30.0,7.0,50.0,360.0,2.92,2.8,2.82,2.78,2.9,2.9,2.85,90.0,210.0,350.0,720.0,840.0,1155.0,2715.0,3
184,19,2020级,软件工程,2,2,3,3,2,3,3,3,2,1,2,3,2,2,2,1,1,3,2,2,2,2,2,2,2,3,3,2,3,3,3,2,2,2,2,3,2,2,3,2,2,2,2,3,3,2,1,3,3,3,3,3,3,2,3,2,3,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,跑步,2.0,20.0,7.0,60.0,7.0,60.0,200.0,2.58,2.3,2.0,2.22,2.1,2.1,2.23,40.0,420.0,420.0,320.0,1680.0,1386.0,3386.0,3
185,18,大一,工程与能源大类,1,2,3,3,3,3,3,2,2,2,2,3,2,3,2,2,1,3,2,2,2,2,3,1,3,3,2,3,1,2,1,3,2,2,3,2,3,3,2,4,3,3,2,3,2,3,4,3,3,1,3,2,3,3,3,2,3,3,2,3,3,2,2,3,3,2,3,2,-2,2,-2,1,1,2,羽毛球,0.0,0.0,0.0,0.0,7.0,60.0,,2.75,2.4,2.09,2.11,2.7,2.7,2.47,0.0,0.0,420.0,0.0,0.0,1386.0,1386.0,2
187,21,2019,测绘工程,1,2,4,2,1,4,2,2,2,2,2,2,2,4,2,2,2,3,3,3,3,2,3,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,长跑,4.0,40.0,2.0,20.0,7.0,60.0,480.0,2.25,2.2,2.09,2.56,2.4,2.1,2.26,160.0,40.0,420.0,1280.0,160.0,1386.0,2826.0,3
191,18,2021,工程与能源,2,1,3,4,3,4,3,3,2,2,2,3,3,3,2,2,2,2,2,4,2,4,4,4,2,4,3,2,4,3,4,3,3,3,4,4,3,2,3,3,3,3,3,4,4,3,3,3,4,3,3,4,4,3,3,3,2,2,3,2,2,3,2,3,3,3,3,2,-2,2,-2,1,1,2,滑板,0.0,0.0,0.0,0.0,7.0,60.0,,3.08,3.0,2.64,3.33,3.0,2.8,2.97,0.0,0.0,420.0,0.0,0.0,1386.0,1386.0,2
196,18,大一,生化,1,2,3,2,2,2,2,3,1,2,2,2,3,2,2,2,2,3,3,3,2,2,1,2,1,4,2,2,2,1,2,2,1,3,1,3,1,1,5,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,-2,1,1,1,1,1,跑步,0.0,0.0,7.0,10.0,7.0,30.0,500.0,2.0,2.0,2.0,1.78,2.4,1.7,1.98,0.0,70.0,210.0,0.0,280.0,693.0,973.0,2
197,18,大一,数学与物理专业,1,1,3,3,2,3,2,2,1,1,1,1,1,1,3,2,2,1,1,1,2,1,3,3,1,3,2,1,1,3,3,2,2,3,1,3,1,1,2,2,1,1,2,1,1,2,3,3,2,1,3,2,1,1,1,3,1,1,3,3,5,2,2,1,2,1,4,1,1,1,1,1,1,1,跑步,3.0,120.0,3.0,120.0,4.0,60.0,300.0,1.58,1.8,1.73,2.44,2.5,1.3,1.87,360.0,360.0,240.0,2880.0,1440.0,792.0,5112.0,3
199,19,大一,环化与健康,2,2,2,2,3,4,3,3,1,2,3,3,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,跑步，走路，羽毛球，跳舞,3.0,60.0,5.0,60.0,7.0,60.0,,2.42,1.5,1.0,1.0,1.3,1.0,1.4,180.0,300.0,420.0,1440.0,1200.0,1386.0,4026.0,3
201,18,大一,工程能源,1,1,4,3,2,2,2,2,2,2,3,1,2,2,1,1,2,2,2,2,3,3,2,3,2,2,3,2,1,2,3,3,3,3,1,2,2,3,2,2,1,2,2,2,2,2,2,2,3,2,3,4,2,4,3,2,2,3,2,3,3,3,4,3,4,4,3,1,1,1,1,1,1,1,跑步,2.0,15.0,0.0,0.0,0.0,,,2.0,2.3,2.36,2.67,2.3,2.7,2.37,30.0,0.0,,240.0,0.0,,,1
203,21,大三,土木工程,1,2,3,3,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3,3,2,2,3,3,2,2,2,3,2,3,3,3,3,3,2,3,3,2,2,2,2,2,2,2,3,3,2,3,2,3,2,3,2,3,3,2,3,3,2,3,2,3,2,3,3,2,4,1,1,1,1,1,1,1,羽毛球,2.0,90.0,3.0,90.0,7.0,40.0,360.0,2.42,2.5,2.27,2.67,2.5,2.6,2.48,180.0,270.0,280.0,1440.0,1080.0,924.0,3444.0,3
204,19,大一,环化与健康,1,1,4,3,1,3,3,3,2,2,2,3,2,4,3,2,2,3,3,3,2,2,3,2,2,4,3,1,3,3,4,3,2,2,4,3,3,2,4,4,4,3,2,4,4,3,3,4,4,3,2,4,4,3,4,3,3,2,4,2,1,3,2,3,2,3,5,1,1,1,1,1,1,2,跑步,5.0,30.0,7.0,30.0,7.0,60.0,,3.17,2.7,2.45,3.0,3.2,2.9,2.9,150.0,210.0,420.0,1200.0,840.0,1386.0,3426.0,3
207,18,大一,工程与能源类,2,1,3,3,2,3,3,4,2,2,2,3,3,3,2,2,2,2,2,2,3,2,3,3,1,3,2,2,2,2,3,2,3,2,2,2,2,2,3,4,3,2,2,2,3,3,2,3,4,2,3,3,3,1,4,2,3,2,3,2,2,3,2,3,3,4,2,1,1,1,1,1,1,1,慢跑、仰卧起坐,2.0,30.0,2.0,20.0,7.0,30.0,300.0,2.83,2.4,2.18,2.67,2.6,2.4,2.52,60.0,40.0,210.0,480.0,160.0,693.0,1333.0,2
208,19,大一,工程与能源,1,2,2,1,2,3,2,1,2,2,3,1,1,3,1,1,1,1,2,2,2,1,2,3,2,1,1,1,1,2,2,3,3,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,3,1,3,2,2,1,1,2,1,1,3,1,3,2,1,1,1,1,4,2,-2,1,1,1,1,1,跑步,0.0,0.0,7.0,60.0,7.0,30.0,600.0,1.67,2.1,1.18,2.0,1.9,1.1,1.65,0.0,420.0,210.0,0.0,1680.0,693.0,2373.0,2
211,18,大一,数理专业,1,1,3,2,1,4,2,2,3,2,1,1,1,3,1,1,1,1,1,1,3,4,4,1,1,2,1,1,1,1,1,3,3,3,1,1,3,3,1,1,1,1,3,3,3,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,3,1,1,3,1,1,2,-2,1,1,1,跑步,3.0,60.0,0.0,0.0,2.0,30.0,300.0,1.33,2.2,1.82,2.0,1.9,1.2,1.73,180.0,0.0,60.0,1440.0,0.0,198.0,1638.0,3
214,18,大一,工程与能源,1,1,3,3,1,2,2,2,2,2,2,2,3,2,4,2,2,3,2,1,3,2,1,2,1,2,2,1,1,1,3,2,1,1,1,3,1,1,1,2,1,3,1,3,2,3,2,3,3,4,3,3,3,3,3,3,3,1,2,2,1,2,2,3,4,3,2,1,1,1,1,1,1,1,羽毛球,3.0,30.0,7.0,30.0,7.0,100.0,250.0,2.0,1.8,2.64,2.11,2.0,2.3,2.15,90.0,210.0,700.0,720.0,840.0,2310.0,3870.0,3
216,18,2021,数学与物理,1,2,3,3,1,4,2,2,1,3,3,2,4,2,2,2,2,2,2,1,4,3,4,4,4,3,3,2,2,3,4,3,5,3,1,2,4,4,5,1,2,2,2,3,2,2,1,3,4,1,2,5,2,1,2,1,2,2,4,2,3,2,4,2,1,2,4,1,1,1,1,1,1,1,篮球，跑步，排球,3.0,120.0,2.0,10.0,4.0,20.0,,2.33,2.4,2.55,2.89,3.4,2.1,2.6,360.0,20.0,80.0,2880.0,80.0,264.0,3224.0,3
217,18,大一,环化与健康,1,2,2,2,2,4,2,3,2,2,4,2,3,2,3,3,3,1,3,2,2,3,3,3,2,4,2,2,2,2,3,2,3,4,2,3,2,2,4,4,2,2,3,3,2,3,2,3,3,3,3,4,2,2,3,3,3,2,3,2,1,2,3,3,3,3,2,1,1,1,1,1,1,2,跑步,3.0,30.0,5.0,30.0,7.0,175.0,,2.83,2.4,2.73,2.78,2.8,2.2,2.63,90.0,150.0,1225.0,720.0,600.0,4042.5,5362.5,3
221,18,21级,工能,1,2,3,2,1,2,2,3,1,1,2,3,1,2,2,2,3,1,2,1,3,3,3,3,1,4,2,1,1,1,3,3,4,3,1,3,1,2,4,5,1,1,1,2,1,3,2,2,4,2,3,2,1,1,4,2,1,1,1,1,1,2,2,2,3,2,3,1,1,1,1,1,1,1,跑步 打球 仰卧起坐,2.0,60.0,5.0,5.0,7.0,60.0,720.0,2.42,1.8,2.27,2.11,2.3,1.6,2.1,120.0,25.0,420.0,960.0,100.0,1386.0,2446.0,2
222,18,大一,生化类,1,2,3,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,健身，跑步,4.0,40.0,7.0,40.0,7.0,60.0,540.0,1.75,1.5,1.82,1.44,1.6,1.6,1.63,160.0,280.0,420.0,1280.0,1120.0,1386.0,3786.0,3
224,20,大一,工程与能源大类,2,1,4,3,2,3,2,2,1,1,2,2,2,3,2,1,3,2,2,2,2,3,2,4,1,1,2,1,2,2,3,1,2,2,3,3,1,2,2,2,2,2,2,1,1,3,1,1,2,2,1,3,3,2,2,2,1,2,2,2,2,2,2,3,3,2,1,1,1,2,-2,1,1,1,跑步,2.0,20.0,0.0,0.0,7.0,40.0,200.0,2.0,1.6,2.27,2.56,1.5,2.0,1.98,40.0,0.0,280.0,320.0,0.0,924.0,1244.0,2
228,19,大一,工程与能源,1,1,3,3,2,2,2,4,1,1,1,3,2,3,1,1,2,4,2,2,1,1,1,5,1,5,2,2,5,1,5,2,1,1,2,5,1,1,5,4,4,1,1,2,1,2,2,1,2,1,2,5,5,1,2,1,2,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,跑步，爬楼梯，引体向上,2.0,30.0,5.0,30.0,7.0,120.0,,2.33,2.0,1.45,2.78,2.3,1.8,2.1,60.0,150.0,840.0,480.0,600.0,2772.0,3852.0,3
231,19,2021级,工程与能源,2,1,4,3,1,3,3,3,1,2,3,3,2,3,3,2,2,3,3,3,2,2,2,3,2,2,3,2,2,2,3,2,2,3,2,3,2,2,3,3,2,2,2,2,3,3,2,2,3,2,2,3,3,3,3,2,2,2,2,2,2,2,3,2,3,3,3,1,1,1,1,1,1,2,跑步,3.0,20.0,1.0,20.0,5.0,30.0,,2.67,2.3,2.27,2.44,2.2,2.7,2.44,60.0,20.0,150.0,480.0,80.0,495.0,1055.0,2
232,21,大三,建筑学,1,2,3,3,2,4,4,4,2,2,1,4,3,5,1,2,2,4,2,5,2,4,1,2,3,5,5,3,4,5,3,1,1,1,5,2,3,1,5,4,4,4,1,5,4,1,1,5,4,1,5,3,5,2,3,1,5,5,5,1,5,3,5,5,2,2,2,2,-2,2,-2,2,-2,2,跑步,0.0,0.0,0.0,0.0,0.0,,,3.58,3.3,2.64,2.22,3.7,3.2,3.13,0.0,0.0,,0.0,0.0,,,1
