序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,IPAQ_1,IPAQ_2,IPAQ_3,IPAQ_4,IPAQ_5,IPAQ_6,IPAQ_7,运动项目,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平
39,18,一年级,法学与新闻,2,2,3,3,1,2,1,1,2,2,1,1,3,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,篮球,7.0,180.0,7.0,120.0,7.0,60.0,180.0,1.42,1.6,2.0,1.89,2.1,1.7,1.77,1260.0,840.0,420.0,10080.0,3360.0,1386.0,14826.0,3
40,19,大一,工程与能源,1,2,3,3,2,4,4,3,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,4,1,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,走路,3.0,30.0,2.0,30.0,7.0,20.0,120.0,2.67,2.4,2.27,2.56,2.3,2.3,2.42,90.0,60.0,140.0,720.0,240.0,462.0,1422.0,2
42,19,2021级,本科生院工程与能源类,2,2,3,2,2,4,2,3,1,2,2,3,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,2,4,2,1,3,3,3,2,3,3,3,2,3,2,3,3,4,3,2,4,2,3,3,3,3,4,2,2,2,3,1,1,2,3,2,4,4,2,2,-2,1,1,1,1,2,快跑,0.0,0.0,4.0,6.0,7.0,20.0,,2.92,2.4,2.45,2.33,2.3,3.1,2.6,0.0,24.0,140.0,0.0,96.0,462.0,558.0,1
43,20,大三,风景园林,2,2,1,1,1,2,2,4,2,2,3,3,3,3,1,1,2,4,3,2,3,2,3,5,2,5,3,2,2,3,2,5,4,2,1,4,2,2,5,4,2,1,4,3,2,4,2,1,4,1,3,4,2,4,3,2,1,3,3,2,5,3,2,1,4,4,3,2,-2,2,-2,2,-2,1,跑步跳绳,0.0,0.0,0.0,0.0,0.0,,720.0,2.5,2.7,1.82,3.11,3.4,3.2,2.76,0.0,0.0,,0.0,0.0,,,1
44,18,大一,工程与能源,2,2,3,3,2,2,2,2,1,2,3,3,2,2,2,1,2,3,3,2,3,2,2,2,2,4,2,3,3,2,3,2,2,2,3,3,1,2,4,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,跑步,3.0,20.0,2.0,20.0,7.0,30.0,265.0,2.75,1.9,2.09,2.11,2.4,2.1,2.24,60.0,40.0,210.0,480.0,160.0,693.0,1333.0,2
46,19,大一,数学与物理类,2,1,4,3,1,4,2,2,2,2,2,2,2,1,1,1,3,2,2,1,4,3,1,3,2,4,4,2,1,1,4,1,3,3,1,5,2,2,4,1,2,2,3,2,1,2,2,3,3,4,1,3,4,3,1,3,2,1,1,3,4,2,2,2,1,1,4,1,1,1,1,1,1,2,乒乓球，羽毛球,2.0,90.0,5.0,25.0,5.0,40.0,,2.0,1.9,2.64,2.56,2.8,1.9,2.29,180.0,125.0,200.0,1440.0,500.0,660.0,2600.0,2
48,19,2021级,环化与健康,2,2,3,2,2,4,1,2,2,1,1,1,2,2,3,1,1,1,2,2,3,2,2,2,1,2,1,1,3,2,4,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,4,3,1,1,1,2,1,1,2,4,2,1,2,2,3,2,1,1,1,1,1,1,1,跑步,3.0,30.0,7.0,20.0,7.0,60.0,600.0,1.75,1.7,1.73,2.33,1.9,1.5,1.81,90.0,140.0,420.0,720.0,560.0,1386.0,2666.0,3
50,18,2021,工程与能源类,1,2,3,2,1,3,2,3,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,跑步 打篮球,5.0,30.0,5.0,30.0,7.0,60.0,200.0,1.5,1.6,1.45,2.0,1.8,1.4,1.61,150.0,150.0,420.0,1200.0,600.0,1386.0,3186.0,3
51,19,2021级大一,法学与新闻大类,2,2,2,2,3,5,2,2,1,2,2,2,2,1,3,1,1,1,1,3,3,3,3,3,2,3,2,1,2,2,2,2,3,3,3,3,1,2,3,3,2,2,3,3,2,3,2,2,3,3,3,3,3,2,3,2,3,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,跑步,3.0,16.0,7.0,10.0,7.0,30.0,270.0,2.42,2.2,2.09,2.22,2.5,1.9,2.23,48.0,70.0,210.0,384.0,280.0,693.0,1357.0,2
52,18,21级,环化与健康,1,1,3,1,3,3,1,1,2,1,1,2,2,4,5,1,3,1,1,2,4,4,2,4,1,2,2,1,2,1,5,3,2,3,1,3,2,3,1,2,1,4,5,2,1,1,3,2,1,1,3,5,3,2,1,4,1,1,5,4,5,4,4,5,1,1,2,2,-2,2,-2,2,-2,2,不从事,0.0,0.0,0.0,0.0,0.0,,,1.5,2.1,3.36,4.11,2.5,1.2,2.42,0.0,0.0,,0.0,0.0,,,1
54,19,大一,工程与能源,1,1,3,3,1,4,3,4,3,3,4,4,4,4,1,2,2,2,3,4,2,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,3,5,4,4,2,1,2,3,3,4,4,4,3,4,4,3,4,4,2,3,2,4,2,4,4,3,2,3,4,3,1,1,1,1,1,1,2,跑步,4.0,30.0,7.0,40.0,5.0,30.0,,3.75,3.5,2.45,3.22,3.6,3.3,3.31,120.0,280.0,150.0,960.0,1120.0,495.0,2575.0,3
55,18,2020,电气工程及其自动化,1,1,4,2,1,3,3,3,3,3,2,2,3,3,3,1,1,5,1,5,4,5,5,2,3,1,3,3,2,2,4,1,3,1,1,3,1,1,1,3,1,3,1,5,1,5,1,3,3,1,1,5,3,1,1,1,1,1,1,3,5,3,1,1,3,1,1,1,1,1,1,1,1,2,跳绳跑步,5.0,30.0,2.0,20.0,7.0,60.0,,2.25,2.3,2.18,3.0,2.2,2.4,2.37,150.0,40.0,420.0,1200.0,160.0,1386.0,2746.0,3
56,18,大一,工程与能源,2,1,4,3,2,3,3,3,3,3,3,3,2,3,1,1,1,3,2,2,3,3,4,3,1,2,1,1,1,2,3,4,2,3,1,2,3,2,3,4,2,1,2,1,2,2,1,1,4,3,2,2,3,2,4,4,1,1,4,1,2,1,4,2,3,4,3,1,1,1,1,1,1,2,快走，跑步,4.0,15.0,7.0,50.0,7.0,60.0,,2.5,2.8,2.09,2.56,2.1,2.1,2.35,60.0,350.0,420.0,480.0,1400.0,1386.0,3266.0,3
59,19,大二,机械类,1,1,3,3,2,4,3,3,2,2,2,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,2,2,2,3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,3,2,1,1,1,1,1,1,1,散步,3.0,30.0,3.0,30.0,7.0,60.0,300.0,2.83,2.5,2.55,2.44,2.6,2.8,2.63,90.0,90.0,420.0,720.0,360.0,1386.0,2466.0,3
61,19,2021,工能,1,1,4,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,躺平,7.0,0.0,7.0,0.0,0.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,,,1
62,18,21,电气信息,1,2,3,3,2,4,2,2,2,1,2,2,2,2,3,3,2,2,2,3,4,3,2,4,1,2,2,2,2,2,4,3,3,3,3,1,2,3,4,4,2,3,2,2,2,2,2,2,2,2,3,4,3,1,3,2,2,3,3,2,2,2,4,3,3,3,2,1,1,1,1,1,1,2,跑步，乒乓球,3.0,20.0,7.0,30.0,7.0,30.0,,2.5,2.4,2.82,2.67,2.4,2.1,2.48,60.0,210.0,210.0,480.0,840.0,693.0,2013.0,3
68,18,2020,自动化,1,2,2,3,2,4,2,2,1,1,2,1,2,3,1,1,1,2,2,2,1,1,3,2,4,4,2,2,2,2,2,2,4,2,2,2,1,2,3,2,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,1,3,2,2,2,2,2,2,1,1,1,2,2,-2,1,1,1,1,1,步行，跑步,0.0,0.0,7.0,30.0,7.0,30.0,600.0,2.08,1.7,1.36,2.11,2.7,1.9,1.97,0.0,210.0,210.0,0.0,840.0,693.0,1533.0,2
