,序号,年龄,年级,专业,性别,家庭所在地,家庭经济情况,学习成绩,对待体育活动的态度,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,IPAQ_1,IPAQ_2,IPAQ_3,IPAQ_4,IPAQ_5,IPAQ_6,IPAQ_7,运动项目,剧烈运动天数,剧烈运动单日分钟数,适度运动天数,适度运动单日分钟数,步行天数,步行单日分钟数,工作日久坐分钟数,认知,人际,情感,公正,节制,超越,积极心理品质得分,剧烈运动一周分钟数,适度运动一周分钟数,步行一周分钟数,剧烈运动MET,适度运动MET,步行MET,总MET,身体活动水平,类别
10,37,18,大一,工程能源类,0,0,2,2,3,4,2,2,2,2,2,2,2,2,2,1,2,2,2,3,2,3,2,2,2,2,2,2,2,2,3,2,2,3,4,3,2,3,3,2,2,2,2,3,2,2,2,2,3,2,3,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,跑步,4.0,20.0,5.0,10.0,7.0,20.0,200.0,2.58,2.7,2.82,2.78,2.7,3.0,2.76,80.0,50.0,140.0,640.0,200.0,462.0,1302.0,2,2
11,39,18,一年级,法学与新闻,1,1,2,2,3,2,1,1,2,2,1,1,3,2,2,2,2,1,1,2,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,篮球,7.0,180.0,7.0,120.0,7.0,60.0,180.0,3.58,3.4,3.0,3.1100000000000003,2.9,3.3,3.23,1260.0,840.0,420.0,10080.0,3360.0,1386.0,14826.0,3,2
12,40,19,大一,工程与能源,0,1,2,2,2,4,4,3,2,2,3,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,3,3,4,1,3,3,3,3,3,2,3,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,走路,3.0,30.0,2.0,30.0,7.0,20.0,120.0,2.33,2.6,2.73,2.44,2.7,2.7,2.58,90.0,60.0,140.0,720.0,240.0,462.0,1422.0,2,2
13,42,19,2021级,本科生院工程与能源类,1,1,2,3,2,4,2,3,1,2,2,3,2,2,2,2,3,3,2,3,2,2,2,3,3,3,3,3,3,2,4,2,1,3,3,3,2,3,3,3,2,3,2,3,3,4,3,2,4,2,3,3,3,3,4,2,2,2,3,1,1,2,3,2,4,4,2,2,-2,1,1,1,1,2,快跑,0.0,0.0,4.0,6.0,7.0,20.0,,2.08,2.6,2.55,2.67,2.7,1.9,2.4,0.0,24.0,140.0,0.0,96.0,462.0,558.0,1,3
15,44,18,大一,工程与能源,1,1,2,2,2,2,2,2,1,2,3,3,2,2,2,1,2,3,3,2,3,2,2,2,2,4,2,3,3,2,3,2,2,2,3,3,1,2,4,3,2,2,2,2,2,2,2,2,3,2,2,3,3,2,3,2,3,2,2,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,跑步,3.0,20.0,2.0,20.0,7.0,30.0,265.0,2.25,3.1,2.91,2.89,2.6,2.9,2.76,60.0,40.0,210.0,480.0,160.0,693.0,1333.0,2,2
16,46,19,大一,数学与物理类,1,0,1,2,3,4,2,2,2,2,2,2,2,1,1,1,3,2,2,1,4,3,1,3,2,4,4,2,1,1,4,1,3,3,1,5,2,2,4,1,2,2,3,2,1,2,2,3,3,4,1,3,4,3,1,3,2,1,1,3,4,2,2,2,1,1,4,1,1,1,1,1,1,2,乒乓球，羽毛球,2.0,90.0,5.0,25.0,5.0,40.0,,3.0,3.1,2.36,2.44,2.2,3.1,2.71,180.0,125.0,200.0,1440.0,500.0,660.0,2600.0,2,2
17,48,19,2021级,环化与健康,1,1,2,3,2,4,1,2,2,1,1,1,2,2,3,1,1,1,2,2,3,2,2,2,1,2,1,1,3,2,4,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1,2,2,1,1,4,3,1,1,1,2,1,1,2,4,2,1,2,2,3,2,1,1,1,1,1,1,1,跑步,3.0,30.0,7.0,20.0,7.0,60.0,600.0,3.25,3.3,3.27,2.67,3.1,3.5,3.19,90.0,140.0,420.0,720.0,560.0,1386.0,2666.0,3,2
18,50,18,2021,工程与能源类,0,1,2,3,3,3,2,3,1,1,1,1,2,2,2,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,跑步 打篮球,5.0,30.0,5.0,30.0,7.0,60.0,200.0,3.5,3.4,3.55,3.0,3.2,3.6,3.39,150.0,150.0,420.0,1200.0,600.0,1386.0,3186.0,3,2
19,51,19,2021级大一,法学与新闻大类,1,1,3,3,1,5,2,2,1,2,2,2,2,1,3,1,1,1,1,3,3,3,3,3,2,3,2,1,2,2,2,2,3,3,3,3,1,2,3,3,2,2,3,3,2,3,2,2,3,3,3,3,3,2,3,2,3,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,跑步,3.0,16.0,7.0,10.0,7.0,30.0,270.0,2.58,2.8,2.91,2.78,2.5,3.1,2.77,48.0,70.0,210.0,384.0,280.0,693.0,1357.0,2,2
21,54,19,大一,工程与能源,0,0,2,2,3,4,3,4,3,3,4,4,4,4,1,2,2,2,3,4,2,3,4,4,4,3,4,3,4,3,4,4,4,3,4,4,4,3,5,4,4,2,1,2,3,3,4,4,4,3,4,4,3,4,4,2,3,2,4,2,4,4,3,2,3,4,3,1,1,1,1,1,1,2,跑步,4.0,30.0,7.0,40.0,5.0,30.0,,1.25,1.5,2.55,1.7799999999999998,1.4,1.7000000000000002,1.69,120.0,280.0,150.0,960.0,1120.0,495.0,2575.0,3,2
22,55,18,2020,电气工程及其自动化,0,0,1,3,3,3,3,3,3,3,2,2,3,3,3,1,1,5,1,5,4,5,5,2,3,1,3,3,2,2,4,1,3,1,1,3,1,1,1,3,1,3,1,5,1,5,1,3,3,1,1,5,3,1,1,1,1,1,1,3,5,3,1,1,3,1,1,1,1,1,1,1,1,2,跳绳跑步,5.0,30.0,2.0,20.0,7.0,60.0,,2.75,2.7,2.82,2.0,2.8,2.6,2.63,150.0,40.0,420.0,1200.0,160.0,1386.0,2746.0,3,2
23,56,18,大一,工程与能源,1,0,1,2,2,3,3,3,3,3,3,3,2,3,1,1,1,3,2,2,3,3,4,3,1,2,1,1,1,2,3,4,2,3,1,2,3,2,3,4,2,1,2,1,2,2,1,1,4,3,2,2,3,2,4,4,1,1,4,1,2,1,4,2,3,4,3,1,1,1,1,1,1,2,快走，跑步,4.0,15.0,7.0,50.0,7.0,60.0,,2.5,2.2,2.91,2.44,2.9,2.9,2.65,60.0,350.0,420.0,480.0,1400.0,1386.0,3266.0,3,3
24,59,19,大二,机械类,0,0,2,2,2,4,3,3,2,2,2,3,2,3,3,2,2,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,2,2,2,3,2,2,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,2,3,3,3,2,1,1,1,1,1,1,1,散步,3.0,30.0,3.0,30.0,7.0,60.0,300.0,2.17,2.5,2.45,2.56,2.4,2.2,2.37,90.0,90.0,420.0,720.0,360.0,1386.0,2466.0,3,2
26,62,18,21,电气信息,0,1,2,2,2,4,2,2,2,1,2,2,2,2,3,3,2,2,2,3,4,3,2,4,1,2,2,2,2,2,4,3,3,3,3,1,2,3,4,4,2,3,2,2,2,2,2,2,2,2,3,4,3,1,3,2,2,3,3,2,2,2,4,3,3,3,2,1,1,1,1,1,1,2,跑步，乒乓球,3.0,20.0,7.0,30.0,7.0,30.0,,2.5,2.6,2.18,2.33,2.6,2.9,2.52,60.0,210.0,210.0,480.0,840.0,693.0,2013.0,3,2
27,68,18,2020,自动化,0,1,3,2,2,4,2,2,1,1,2,1,2,3,1,1,1,2,2,2,1,1,3,2,4,4,2,2,2,2,2,2,4,2,2,2,1,2,3,2,2,2,2,3,2,2,2,2,2,1,1,2,3,1,2,1,3,2,2,2,2,2,2,1,1,1,2,2,-2,1,1,1,1,1,步行，跑步,0.0,0.0,7.0,30.0,7.0,30.0,600.0,2.92,3.3,3.64,2.89,2.3,3.1,3.03,0.0,210.0,210.0,0.0,840.0,693.0,1533.0,2,3
28,69,17,大一,工程与能源,0,0,2,2,2,2,2,3,2,2,4,3,3,2,2,1,1,2,2,2,1,2,3,2,1,4,2,2,2,2,3,3,4,4,3,1,2,3,2,2,2,2,2,2,2,2,2,1,4,2,2,1,3,3,3,2,3,2,1,2,2,2,2,2,3,2,2,2,-2,2,-2,1,1,2,篮球,0.0,0.0,0.0,0.0,7.0,50.0,,2.5,2.5,3.27,2.89,2.5,2.9,2.76,0.0,0.0,350.0,0.0,0.0,1155.0,1155.0,2,3
29,72,17,1,法律与新闻,0,1,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,-2,1,1,1,1,2,步行,0.0,0.0,0.0,0.0,6.0,30.0,,4.0,4.0,4.0,4.0,4.0,3.6,3.94,0.0,0.0,180.0,0.0,0.0,594.0,594.0,2,3
30,73,17,大一,工程与能源类,0,0,2,1,2,4,2,4,2,2,2,2,2,3,2,2,2,2,2,4,2,2,2,2,2,4,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,跑步学习,2.0,20.0,0.0,0.0,0.0,0.0,,2.83,2.5,3.0,2.89,2.8,3.0,2.84,40.0,0.0,0.0,320.0,0.0,0.0,320.0,1,2
31,78,19,大一,工程能源大类,0,1,2,2,3,3,2,1,1,1,2,2,2,2,2,2,2,2,1,2,3,3,2,3,2,4,1,1,1,2,3,1,1,3,1,1,1,1,4,1,1,2,2,1,1,1,1,2,1,1,1,3,1,1,1,2,1,1,1,1,4,3,1,3,1,2,1,1,1,1,1,1,1,1,跑步，打篮球,3.0,60.0,5.0,0.0,7.0,0.0,600.0,3.5,3.6,3.09,2.67,3.0,3.7,3.27,180.0,0.0,0.0,1440.0,0.0,0.0,1440.0,2,2
32,79,19,2021级,工程与能源大类,0,1,2,3,2,4,1,3,1,1,2,2,2,2,5,2,2,2,4,2,3,4,2,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,3,2,4,3,2,2,3,2,2,2,1,2,4,2,3,4,2,2,2,2,1,1,2,3,3,4,4,2,1,1,1,1,1,1,1,跑步,4.0,20.0,7.0,15.0,7.0,10.0,540.0,2.58,3.2,2.18,2.78,3.4,2.5,2.76,80.0,105.0,70.0,640.0,420.0,231.0,1291.0,2,2
34,83,18,2021,工程与能源类,0,1,2,2,2,5,5,4,2,3,5,3,3,3,2,2,2,3,4,4,4,3,2,5,3,5,3,3,4,4,5,2,3,4,4,5,3,3,4,5,3,3,3,3,3,4,2,3,5,5,4,5,3,2,4,2,2,3,3,2,2,3,4,3,5,5,3,1,1,1,1,1,1,1,跑步,1.0,30.0,5.0,10.0,2.0,10.0,950.0,0.8300000000000001,1.7000000000000002,1.73,1.67,2.0,1.6,1.56,30.0,50.0,20.0,240.0,200.0,66.0,506.0,1,2
35,84,18,2021,法学与新闻,1,1,2,2,2,3,4,4,1,2,2,4,2,2,3,1,1,2,1,3,2,3,2,3,2,4,4,3,3,3,4,1,3,4,2,4,3,1,4,4,4,3,2,3,2,4,2,3,4,3,3,3,3,2,4,2,2,1,1,2,1,2,2,2,3,3,3,1,1,2,-2,1,1,1,跑步,2.0,20.0,0.0,0.0,7.0,120.0,720.0,1.92,2.3,2.73,2.56,2.5,2.3,2.37,40.0,0.0,840.0,320.0,0.0,2772.0,3092.0,3,3
36,85,18,大一,电气与信息,0,1,2,3,3,4,2,2,3,3,3,2,3,3,3,2,1,1,1,4,4,2,3,4,2,2,2,1,2,3,4,4,2,2,1,4,3,3,4,2,3,3,2,3,2,3,2,4,2,3,3,4,4,3,2,2,2,4,3,2,4,3,3,3,2,2,2,2,-2,1,1,1,1,1,慢跑,0.0,0.0,5.0,30.0,7.0,40.0,480.0,2.83,1.9,2.18,2.0,2.3,2.6,2.32,0.0,150.0,280.0,0.0,600.0,924.0,1524.0,2,3
38,91,18,大一,法新大类,1,1,2,3,2,4,4,2,1,2,3,4,2,2,1,1,1,3,3,4,1,1,3,2,2,3,2,2,2,3,2,2,2,2,1,2,1,1,3,2,2,1,1,4,2,2,1,3,3,1,1,2,5,1,3,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,跑步,3.0,30.0,2.0,30.0,7.0,30.0,240.0,2.17,2.7,3.91,3.1100000000000003,2.7,3.3,2.97,90.0,60.0,210.0,720.0,240.0,693.0,1653.0,3,2
39,92,18,大一,工程与能源类,0,1,2,2,2,5,2,3,2,3,2,2,2,3,3,1,1,2,2,3,4,3,4,2,1,3,3,2,4,2,2,5,4,3,5,2,2,3,5,5,3,2,1,2,2,2,1,2,4,2,3,3,4,5,4,2,2,1,4,2,4,3,1,3,2,2,4,2,-2,1,1,1,1,2,打羽毛球 走路,0.0,0.0,3.0,30.0,5.0,30.0,,1.75,2.0,2.73,2.56,1.9,2.7,2.26,0.0,90.0,150.0,0.0,360.0,495.0,855.0,2,3
40,98,19,2021,工程与能源,0,1,2,2,2,3,3,4,1,2,1,3,1,1,1,1,1,1,1,3,3,3,2,4,2,1,2,1,2,2,4,2,2,2,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,4,3,2,2,1,1,1,1,1,1,1,5,1,3,3,1,1,1,1,1,1,1,1,跑步,4.0,30.0,4.0,30.0,4.0,30.0,720.0,3.0,2.8,3.0,2.78,3.7,3.1,3.06,120.0,120.0,120.0,960.0,480.0,396.0,1836.0,3,2
41,100,18,大一,工程与能源,1,1,2,2,3,4,2,2,2,2,2,2,2,2,2,1,1,3,2,3,2,3,2,3,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,慢跑,4.0,35.0,4.0,20.0,7.0,80.0,300.0,2.83,2.9,3.09,2.89,2.9,2.7,2.89,140.0,80.0,560.0,1120.0,320.0,1848.0,3288.0,3,2
42,101,18,大一,工程与能源类,0,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,跑步,2.0,30.0,7.0,20.0,7.0,30.0,600.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,60.0,140.0,210.0,480.0,560.0,693.0,1733.0,2,2
43,103,19,大二,自动化,0,1,2,3,3,4,1,2,1,1,2,1,1,1,1,2,3,2,2,1,2,3,1,2,2,2,1,1,1,2,2,2,2,3,1,2,1,2,3,2,1,1,2,1,1,1,1,1,2,1,2,3,1,1,2,1,2,1,3,2,1,1,3,2,1,2,2,1,1,1,1,1,1,1,健腹轮、哑铃、俯卧撑、仰卧起坐、慢跑,3.0,20.0,7.0,20.0,7.0,30.0,480.0,3.33,3.4,3.0,3.33,3.2,3.7,3.3200000000000003,60.0,140.0,210.0,480.0,560.0,693.0,1733.0,3,2
44,108,18,大一,工程与能源,0,0,2,2,2,3,2,2,1,2,1,2,2,2,1,1,1,1,1,3,1,1,1,1,1,3,1,1,3,1,3,1,1,1,3,2,2,1,3,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,2,2,2,2,2,2,1,1,2,-2,1,1,1,跑步,2.0,30.0,0.0,0.0,7.0,40.0,180.0,3.17,3.3,3.73,3.33,2.8,3.5,3.31,60.0,0.0,280.0,480.0,0.0,924.0,1404.0,2,3
45,112,18,2021级,工程与能源类,0,0,2,2,2,3,3,3,2,2,2,3,2,2,2,1,1,3,2,3,2,3,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,1,2,3,3,2,3,2,2,2,3,2,2,2,2,3,3,1,2,2,2,1,3,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,跑步,2.0,70.0,2.0,20.0,7.0,60.0,420.0,2.67,2.7,3.18,2.78,2.8,3.0,2.85,140.0,40.0,420.0,1120.0,160.0,1386.0,2666.0,2,2
48,119,18,21,工程与能源,0,1,3,2,3,2,1,2,2,2,1,2,2,3,2,1,1,5,1,1,2,3,1,2,1,3,2,1,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,3,2,1,1,1,2,2,1,1,1,1,1,1,2,篮球 跑步,3.0,60.0,6.0,30.0,7.0,120.0,,3.25,2.9,3.27,2.78,2.7,2.9,2.98,180.0,180.0,840.0,1440.0,720.0,2772.0,4932.0,3,2
49,121,18,21,工能,0,1,2,2,3,3,3,2,2,2,1,3,3,3,3,2,2,2,1,3,3,2,2,1,1,3,2,1,1,1,3,3,1,1,1,3,1,1,4,3,2,1,1,2,1,2,1,3,3,2,3,3,4,1,3,2,3,1,3,2,1,2,4,3,2,2,1,1,1,1,1,1,1,1,羽毛球，跑步,3.0,60.0,2.0,30.0,7.0,70.0,360.0,2.83,2.8,2.64,2.89,2.8,3.4,2.89,180.0,60.0,490.0,1440.0,240.0,1617.0,3297.0,3,2
50,122,18,13,工能,0,1,1,2,3,3,2,3,1,2,3,1,2,1,3,1,2,4,2,1,2,1,2,1,2,5,2,3,2,3,2,5,1,2,5,2,1,3,1,2,2,1,3,1,2,3,1,1,2,1,1,1,3,1,1,1,1,1,2,2,3,1,3,1,1,1,1,1,1,1,1,1,1,1,跑步,2.0,40.0,2.0,60.0,5.0,40.0,720.0,2.75,2.8,3.18,3.44,3.2,3.1,3.06,80.0,120.0,200.0,640.0,480.0,660.0,1780.0,2,2
51,125,20,大一,工程与能源,0,1,2,2,3,3,1,2,2,2,1,1,4,3,3,3,3,1,1,3,2,2,3,1,1,3,3,1,3,3,3,5,3,1,1,2,3,3,4,3,3,2,3,3,2,1,2,2,2,2,1,2,2,1,1,5,2,3,4,3,5,3,3,3,3,1,5,1,1,1,1,1,1,1,篮球,7.0,90.0,7.0,60.0,7.0,30.0,300.0,3.33,2.6,2.45,2.11,1.5,3.1,2.55,630.0,420.0,210.0,5040.0,1680.0,693.0,7413.0,3,2
52,128,17,大一,工程与能源,0,0,2,3,2,4,2,2,2,2,3,3,2,2,3,2,3,2,2,3,3,3,2,2,2,4,2,1,3,2,4,3,2,3,2,2,3,2,4,3,1,2,3,3,2,2,2,3,3,2,4,4,3,3,3,2,3,2,2,2,3,3,3,4,3,4,3,1,1,1,1,1,1,1,跑步,2.0,30.0,5.0,30.0,7.0,60.0,720.0,2.33,2.3,2.36,2.33,2.2,2.7,2.37,60.0,150.0,420.0,480.0,600.0,1386.0,2466.0,2,3
53,129,19,20,土木建环,0,1,2,2,3,4,3,2,2,2,2,2,3,3,2,2,2,2,2,4,2,2,2,3,2,3,2,2,2,2,3,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,健身跑步,4.0,15.0,4.0,15.0,7.0,30.0,130.0,2.75,2.6,3.0,2.56,2.6,3.0,2.76,60.0,60.0,210.0,480.0,240.0,693.0,1413.0,2,2
54,130,18,21,数理,1,1,2,2,2,3,2,2,1,2,2,2,2,2,2,1,2,2,3,3,2,2,1,2,2,3,3,2,3,2,3,2,2,2,2,3,2,1,3,2,2,2,2,1,2,2,1,1,3,1,1,2,2,3,3,1,1,2,1,2,1,1,2,3,2,3,2,1,1,1,1,1,1,1,跑步 骑自行车,3.0,20.0,6.0,15.0,7.0,30.0,100.0,2.67,3.1,3.09,3.22,3.3,2.7,3.0,60.0,90.0,210.0,480.0,360.0,693.0,1533.0,3,2
55,132,19,大一,工能,0,1,3,2,2,4,2,2,1,1,4,1,1,2,1,1,1,2,2,3,3,2,2,1,1,4,2,1,3,1,2,2,4,4,2,3,1,2,3,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,3,1,1,1,2,1,1,1,1,1,1,1,3,1,1,2,-2,1,1,1,跑步,3.0,40.0,0.0,0.0,7.0,60.0,600.0,2.83,3.2,3.45,3.56,2.8,3.7,3.24,120.0,0.0,420.0,960.0,0.0,1386.0,2346.0,3,2
57,136,21,大三,风景园林,1,1,2,1,3,3,2,2,2,2,3,3,2,3,3,1,1,3,2,4,2,3,1,2,1,3,4,3,3,3,4,2,2,4,3,4,2,1,1,1,2,1,1,3,3,4,2,4,2,2,4,4,3,4,2,2,3,1,2,2,1,2,2,2,2,2,3,2,-2,1,1,1,1,1,慢跑,0.0,0.0,7.0,45.0,3.0,30.0,420.0,2.42,2.2,3.0,2.67,2.8,2.4,2.58,0.0,315.0,90.0,0.0,1260.0,297.0,1557.0,2,3
59,141,18,21,环境,0,0,2,2,3,3,2,2,2,2,1,2,3,4,1,2,2,4,3,3,3,3,3,3,3,2,2,1,1,1,1,4,4,2,2,1,1,3,1,1,2,1,1,4,2,2,3,2,2,1,3,3,3,3,3,3,3,1,4,3,2,2,1,1,3,3,5,1,1,1,1,1,1,1,跑步，健身房锻炼,6.0,45.0,7.0,60.0,7.0,40.0,420.0,3.08,2.7,3.27,2.44,1.9,2.5,2.68,270.0,420.0,280.0,2160.0,1680.0,924.0,4764.0,3,2
